ação,empresa,p,data_p,data_dem_financ_,consolidação,rotanc,roinvc,rpl,roa,margem_líquida,margem_bruta,margem_ebit,giro_ativo,alav_financ_,passivo_pl,p_lucro,p_vpa,p_rec_líq_,p_fco,p_fcf,p_ebit,p_ncav,p_ativo_total,p_cap_giro,ev_ebit,ev_ebitda,ev_rec_líq_,ev_fco,ev_fcf,ev_ativo_total,div_yield,volume_financ_(r$),market_cap(r$),#_ações_total,#_ações_ord_,#_ações_pref_
RRRP3,3R PETROLEUM,31.06,23/06/2023,31/03/2023,Consolidado,4.94,3.80,11.95,8.69,23.66,45.02,10.71,0.37,1.86,0.86,13.88,1.47,3.28,46.94,-15.83,30.67,-1.85,0.79,23.19,38.09,15.44,4.08,-19.66,58.30,0.98,0.00,227548280,7451214704,239897447,239897447,0
TTEN3,3TENTOS,12.86,23/06/2023,31/03/2023,Consolidado,0,0,0,0,8.35,15.44,8.11,0,2.24,1.24,10.35,2.23,0.86,9.77,-99.34,10.65,-3.14,1.00,4.21,11.23,10.51,0.91,-104.81,10.31,1.05,0.90,11727540,6408107740,498297647,498297647,0
QVQP3B,524 PARTICIP,0,0,31/03/2023,Individual,-2948.00,-2948.00,-224.07,-224.07,0,0,0,0.00,1.00,0.00,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,4234183918,4234183918,0
EALT3,ACO ALTO0,8.22,23/06/2023,31/03/2023,Consolidado,9.84,12.02,18.33,6.93,7.22,21.92,11.20,0.96,2.44,1.44,5.34,0.87,0.39,2.61,7.96,3.45,-0.58,0.36,-18.21,5.48,4.08,0.61,12.65,4.14,0.57,4.18,2328,185077500,22500000,9750000,12750000
EALT4,ACO ALTO0,8.23,23/06/2023,31/03/2023,Consolidado,9.84,12.02,18.33,6.93,7.22,21.92,11.20,0.96,2.44,1.44,5.35,0.87,0.39,2.61,7.97,3.45,-0.58,0.36,-18.23,5.48,4.08,0.61,12.65,4.14,0.57,4.59,125217,185077500,22500000,9750000,12750000
AERI3,AERIS,1.50,23/06/2023,31/03/2023,Consolidado,9.68,9.73,-11.67,-3.74,-4.20,13.11,9.22,0.89,3.81,2.81,-9.89,1.33,0.42,-13.93,-6.93,4.51,-0.81,0.35,1.14,8.38,6.89,0.77,-12.86,-25.87,0.65,0.00,6505861,1149320184,766213456,766213456,0
AESB3,AES BRASIL,12.39,23/06/2023,31/03/2023,Consolidado,5.10,5.38,3.88,1.00,4.28,33.16,25.99,0.23,4.55,3.55,58.93,1.69,2.52,26.29,-2.19,9.71,-0.60,0.37,2.31,25.09,14.85,6.52,-5.65,67.92,0.96,0.87,28344167,7457879383,601927311,601927311,0
AFLT3,AFLUENTE T,9.55,23/06/2023,31/03/2023,Individual,10.44,11.19,15.31,14.00,48.96,59.73,49.97,0.29,1.14,0.14,15.36,2.22,7.52,38.47,44.18,15.05,28.47,1.95,10.35,14.58,14.51,7.28,42.79,37.26,1.89,6.22,3784,602458885,63084700,63084700,0
GRAO3,AGRIBRASIL,0,0,31/03/2023,Consolidado,5.88,8.92,-6.24,-0.79,-0.27,2.12,1.22,2.97,6.57,5.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,88000000,88000000,0
AGXY3,AGROGALAXY,6.19,23/06/2023,31/03/2023,Consolidado,24.59,15.34,12.96,2.02,1.62,13.57,5.16,1.25,7.70,6.70,5.82,0.73,0.09,-3.52,-2.97,1.82,-0.12,0.10,1.21,4.22,3.52,0.22,-6.88,-8.15,0.22,0.64,403719,1057406682,170824989,170824989,0
BRGE3,ALFA CONSORC,9.77,19/06/2023,31/03/2023,Consolidado,1.48,2.89,6.80,2.72,2289.10,-3940.13,1469.66,0.00,2.23,1.23,8.46,0.55,193.68,7.72,0,13.18,-0.72,0.25,1.17,12.94,10.03,190.22,0,7.58,0.24,0.00,503,708884745,73646388,40394932,33251456
BRGE6,ALFA CONSORC,9.45,05/06/2023,31/03/2023,Consolidado,1.48,2.89,6.80,2.72,2289.10,-3940.13,1469.66,0.00,2.23,1.23,8.18,0.53,187.34,7.46,0,12.75,-0.70,0.24,1.13,12.94,10.03,190.22,0,7.58,0.24,23.63,1170,708884745,73646388,40394932,33251456
RPAD3,ALFA HOLDING,7.45,09/06/2023,31/03/2023,Individual,3.72,3.72,6.30,6.28,0,0,0,0.00,1.00,0.00,9.63,0.58,0,391.85,0,10.77,11.49,0.58,10.86,10.31,10.31,0,0,375.19,0.56,0.01,346,604586871,84682269,46011632,38670637
RPAD6,ALFA HOLDING,6.77,14/06/2023,31/03/2023,Individual,3.72,3.72,6.30,6.28,0,0,0,0.00,1.00,0.00,8.75,0.53,0,356.09,0,9.78,10.44,0.53,9.87,10.31,10.31,0,0,375.19,0.56,8.49,9984,604586871,84682269,46011632,38670637
ALSO3,ALIANSCSO0E,25.24,23/06/2023,31/03/2023,Consolidado,31.14,48.80,45.04,26.34,209.84,69.43,342.49,0.13,1.94,0.94,4.71,0.98,9.89,16.40,16.53,2.89,-1.17,0.50,9.47,2.88,2.70,9.85,16.47,16.33,0.50,2.06,101038224,14486167583,573936909,573936909,0
APTI3,ALIPERTI,0,0,31/03/2023,Consolidado,-6.01,-10.07,-11.21,-5.06,-57.25,94.24,-93.35,0.09,2.38,1.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-2.77,-2.92,2.59,-26.34,-33.37,0.24,0,0,65082500,18595,6250,12345
APTI4,ALIPERTI,3500.00,01/08/2018,31/03/2023,Consolidado,-6.01,-10.07,-11.21,-5.06,-57.25,94.24,-93.35,0.09,2.38,1.38,-2.49,0.31,1.43,-18.38,-14.51,-1.53,-0.47,0.13,0.44,-2.77,-2.92,2.59,-26.34,-33.37,0.24,0.00,0,65082500,18595,6250,12345
FRRN3B,ALL NORTE,0,0,31/03/2023,Individual,16.11,16.98,29.63,14.44,25.27,39.89,37.13,0.57,1.91,0.91,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.18,0.95,0.44,1.05,0.85,0.25,0,0,0,1189412363,1107698070,81714293
FRRN5B,ALL NORTE,0,0,31/03/2023,Individual,16.11,16.98,29.63,14.44,25.27,39.89,37.13,0.57,1.91,0.91,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.18,0.95,0.44,1.05,0.85,0.25,0,0,0,1189412363,1107698070,81714293
AALR3,ALLIAR,23.51,23/06/2023,31/03/2023,Consolidado,-0.91,-0.61,-21.34,-9.75,-22.50,30.83,-1.55,0.43,2.84,1.84,-11.24,3.07,2.53,13.52,34.71,-163.42,-1.45,1.08,-11.12,-213.97,36.40,3.31,45.44,17.70,1.42,0.00,5527410,2781064104,118292816,118292816,0
ALLD3,ALLIED,6.78,23/06/2023,31/03/2023,Consolidado,8.96,7.02,4.56,1.76,1.37,14.74,3.78,1.29,2.43,1.43,9.03,0.42,0.12,0.26,0.26,3.26,-0.57,0.17,0.59,4.98,3.63,0.19,0.40,0.40,0.26,5.22,387311,632035546,93220582,93220582,0
ALPA3,ALPARGATAS,11.11,23/06/2023,31/03/2023,Consolidado,-2.46,-2.33,-2.05,-1.25,-2.67,45.10,-3.22,0.47,1.47,0.47,-68.36,1.38,1.83,-21.54,-7.64,-56.70,-11.67,0.93,3.86,-61.32,220.26,1.97,-8.27,-23.30,1.01,0.00,115190,7307109029,683062222,339510689,343551533
ALPA4,ALPARGATAS,10.29,23/06/2023,31/03/2023,Consolidado,-2.46,-2.33,-2.05,-1.25,-2.67,45.10,-3.22,0.47,1.47,0.47,-63.31,1.28,1.69,-19.95,-7.08,-52.51,-10.81,0.86,3.57,-61.32,220.26,1.97,-8.27,-23.30,1.01,0.00,73729497,7307109029,683062222,339510689,343551533
APER3,ALPER SA,27.92,23/06/2023,31/03/2023,Consolidado,22.83,3.97,7.20,4.02,8.34,100.00,6.80,0.48,1.61,0.61,25.41,1.17,2.12,21.26,83.49,31.19,-2.15,0.72,16.24,30.98,13.91,2.11,82.93,21.12,0.72,1.16,1470680,546162776,19561704,19561704,0
AVLL3,ALPHAVILLE,7.22,23/06/2023,31/03/2023,Consolidado,-14.52,-11.36,529.66,-21.48,-115.00,20.13,-43.86,0.19,-3.85,-4.85,-0.42,-0.36,0.49,0.98,1.01,-1.11,-0.06,0.09,-0.26,-8.65,-8.97,3.80,7.86,7.62,0.73,0.00,76742,206601838,28615213,28615213,0
ALUP3,ALUPAR,10.24,23/06/2023,31/03/2023,Consolidado,6.94,10.13,10.14,2.70,20.19,79.84,71.68,0.13,3.98,2.98,12.53,1.25,2.53,4.00,5.94,3.53,-0.49,0.31,3.01,7.86,7.44,5.64,13.23,8.91,0.70,5.08,177277,9350445549,914275704,620834207,293441497
ALUP4,ALUPAR,10.20,23/06/2023,31/03/2023,Consolidado,6.94,10.13,10.14,2.70,20.19,79.84,71.68,0.13,3.98,2.98,12.49,1.25,2.52,3.98,5.92,3.52,-0.49,0.31,3.00,7.86,7.44,5.64,13.23,8.91,0.70,5.10,286732,9350445549,914275704,620834207,293441497
ALUP11,ALUPAR,30.24,23/06/2023,31/03/2023,Consolidado,6.94,10.13,10.14,2.70,20.19,79.84,71.68,0.13,3.98,2.98,12.34,1.23,2.49,3.94,5.85,3.48,-0.48,0.31,2.96,7.86,7.44,5.64,13.23,8.91,0.70,5.16,26096890,9350445549,914275704,620834207,293441497
ABEV3,AMBEV S/A,15.49,23/06/2023,31/03/2023,Consolidado,34.42,17.57,18.68,11.57,18.03,49.71,22.46,0.64,1.59,0.59,16.55,2.87,2.98,12.48,18.96,13.28,-4.81,1.80,-961.91,12.82,9.80,2.88,18.31,12.05,1.74,4.92,362956214,244026877569,15753833284,15753833284,0
AMBP3,AMBIPAR,19.15,23/06/2023,31/03/2023,Consolidado,26.03,13.17,-7.92,-1.38,-1.96,22.22,15.80,0.70,8.57,7.57,-26.43,1.79,0.52,10.89,21.94,3.29,-0.35,0.21,0.72,9.40,6.11,1.49,62.79,31.17,0.60,0.70,23882934,2162716510,112935588,112935588,0
AMER3,AMERICA0S,1.17,23/06/2023,30/09/2022,Consolidado,3.41,3.14,0.27,0.10,0.15,30.68,4.18,0.65,3.20,2.20,24.82,0.07,0.04,-1.73,-0.92,0.91,-0.05,0.02,0.09,14.97,5.60,0.63,-15.20,-28.46,0.37,0.00,24373477,1055959519,902529503,902529503,0
CBEE3,AMPLA ENERG,14.42,20/06/2023,31/03/2023,Individual,4.79,5.82,-2.82,-0.82,-1.79,16.74,10.95,0.46,3.40,2.40,-25.15,0.66,0.45,3.38,-7.17,4.11,-0.24,0.20,-1.71,10.27,5.89,1.12,-17.93,8.44,0.49,0.00,1612,3463827061,240209921,240209921,0
ANIM3,ANIMA,4.14,23/06/2023,31/03/2023,Consolidado,5.98,2.99,-3.13,-0.83,-2.47,58.09,9.68,0.33,3.95,2.95,-18.71,0.62,0.46,9.01,19.09,4.78,-0.21,0.16,-37.72,19.22,7.72,1.86,76.81,36.24,0.64,0.00,30053177,1672016853,403868805,403868805,0
ARZZ3,AREZZO CO,79.65,23/06/2023,31/03/2023,Consolidado,18.45,12.18,15.61,9.69,8.82,53.67,11.17,1.10,1.89,0.89,22.52,3.23,1.99,132.72,-49.53,17.77,-6.68,1.71,7.97,19.88,14.53,2.22,-55.41,148.46,1.91,1.73,120703254,8840290258,110989206,110989206,0
ARML3,ARMAC,14.79,23/06/2023,31/03/2023,Individual,7.61,7.73,12.94,4.74,15.91,49.59,37.15,0.30,3.30,2.30,34.85,4.49,5.55,-14.72,0,14.93,-2.83,1.36,6.28,18.83,13.68,6.99,0,-18.57,1.72,2.20,6260494,5117577246,346016041,346016041,0
ASAI3,ASSAI,14.30,23/06/2023,31/03/2023,Individual,15.86,20.25,36.13,3.32,1.85,16.44,5.06,1.79,9.82,8.82,17.91,4.85,0.33,4.47,20.24,6.56,-0.51,0.49,-6.56,9.53,6.93,0.48,29.41,6.50,0.72,0.61,299458329,19308667893,1350256496,1350256496,0
ATMP3,ATMASA,2.35,23/06/2023,31/03/2023,Consolidado,-281.32,-52.48,-563.08,-24.38,-80.45,-18.34,-59.63,0.30,-4.72,-5.72,-0.15,-0.18,0.12,0.58,0.59,-0.20,-0.02,0.04,-0.07,-1.07,-1.58,0.64,3.21,3.18,0.21,0.00,179371,62769337,26710356,26710356,0
ATOM3,ATOMPAR,2.73,23/06/2023,31/03/2023,Consolidado,12.83,30.27,15.92,10.68,13.01,95.46,9.52,0.82,1.51,0.51,16.69,2.59,2.17,6.18,6.29,22.81,3.26,1.72,1.99,13.64,12.75,1.30,3.76,3.70,1.03,11.74,55865,64987372,23804898,23804898,0
AURA33,AURA 360,34.00,23/06/2023,31/03/2023,Consolidado,13.70,16.98,15.91,7.61,12.11,29.13,18.68,0.63,2.21,1.21,10.38,1.46,1.26,3.71,-16.73,6.73,-1.39,0.66,8.78,8.08,8.08,1.51,-20.08,4.46,0.79,0.00,2951364,2446197150,71946975,71946975,0
AURE3,AUREN,14.95,23/06/2023,31/03/2023,Consolidado,5.41,6.91,22.71,10.23,50.32,20.65,26.42,0.20,2.18,1.18,5.14,0.97,2.58,31.01,-13.53,9.78,-0.97,0.44,5.23,11.63,8.37,3.07,-16.08,36.87,0.53,10.03,53193017,14950000000,1000000000,1000000000,0
AZEV3,AZEVEDO,2.33,23/06/2023,31/03/2023,Consolidado,-64.07,-63.71,-94.18,-24.56,-23.84,5.39,-27.08,1.03,7.56,6.56,-1.61,2.34,0.38,-2.28,0,-1.42,-0.32,0.31,-3.01,-1.84,-2.84,0.50,0,-2.96,0.40,0.00,230301,178817678,77180469,26539706,50640763
AZEV4,AZEVEDO,2.31,23/06/2023,31/03/2023,Consolidado,-64.07,-63.71,-94.18,-24.56,-23.84,5.39,-27.08,1.03,7.56,6.56,-1.60,2.32,0.38,-2.26,0,-1.40,-0.32,0.31,-2.98,-1.84,-2.84,0.50,0,-2.96,0.40,0.00,865603,178817678,77180469,26539706,50640763
AZUL4,AZUL,21.24,23/06/2023,31/03/2023,Consolidado,15.84,27.32,26.38,-23.20,-23.94,18.55,10.14,0.97,-0.88,-1.88,-6.51,-1.36,1.56,7.22,8.59,15.37,-0.55,1.54,-2.25,28.35,12.74,2.87,15.84,13.32,2.85,0.00,198770806,26859859018,1264588466,928965058,335623408
B3SA3,B3,14.43,23/06/2023,31/03/2023,Consolidado,28.28,11.15,19.33,8.31,42.03,89.93,54.90,0.20,2.23,1.23,20.88,4.28,8.78,9.19,9.32,15.99,-5.15,1.92,10.78,17.02,14.32,9.35,9.92,9.78,2.05,2.76,544204110,83968170000,5819000000,5819000000,0
BAHI3,BAHEMA,8.42,23/06/2023,31/03/2023,Consolidado,-21.44,-14.15,-64.56,-15.35,-30.21,40.32,-13.57,0.51,11.71,10.71,-1.85,3.69,0.56,8.12,-29.86,-4.12,-0.25,0.32,-0.90,-8.17,-13.13,1.11,-59.27,16.12,0.63,0.00,62367,222208700,26390582,26390582,0
BDLL3,BARDELLA,13.10,14/06/2023,31/03/2023,Consolidado,-5.53,-52.19,-34.93,10.34,210.54,-63.95,-72.75,0.05,-5.36,-6.36,0.32,-0.17,0.66,-0.17,-1.28,-0.91,-0.03,0.03,3.51,-7.93,-9.01,5.77,-11.15,-1.44,0.27,0.00,1012,18180138,1600000,607192,992808
BDLL4,BARDELLA,10.30,21/06/2023,31/03/2023,Consolidado,-5.53,-52.19,-34.93,10.34,210.54,-63.95,-72.75,0.05,-5.36,-6.36,0.25,-0.13,0.52,-0.13,-1.01,-0.72,-0.02,0.02,2.76,-7.93,-9.01,5.77,-11.15,-1.44,0.27,0.00,4962,18180138,1600000,607192,992808
BALM3,BAUMER,12.00,19/06/2023,31/03/2023,Consolidado,7.79,9.15,10.50,5.80,7.71,58.92,10.88,0.75,1.80,0.80,9.03,0.85,0.70,12.53,29.06,6.39,-406.92,0.47,1.06,6.58,5.34,0.72,29.89,12.89,0.49,1.80,194,106722000,9800000,4900000,4900000
BALM4,BAUMER,9.78,23/06/2023,31/03/2023,Consolidado,7.79,9.15,10.50,5.80,7.71,58.92,10.88,0.75,1.80,0.80,7.36,0.69,0.57,10.21,23.68,5.21,-331.64,0.38,0.87,6.58,5.34,0.72,29.89,12.89,0.49,2.21,2888,106722000,9800000,4900000,4900000
BBML3,BBMLOGISTICA,0,0,31/03/2023,Consolidado,4.73,4.69,-68.52,-7.77,-4.83,7.35,2.47,1.61,26.52,25.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,40760818,40760818,0
BMOB3,BEMOBI TECH,14.16,23/06/2023,31/03/2023,Consolidado,21.98,9.51,7.99,5.80,5.77,22.82,7.07,1.00,1.27,0.27,15.77,1.21,0.91,7.51,10.61,12.89,3.65,0.95,2.02,7.33,4.49,0.52,6.03,4.27,0.54,1.65,4939382,1287272743,90909092,90909092,0
BETP3B,BETAPART,0,0,31/03/2023,Individual,-357.92,-357.92,-10.58,-10.58,0,0,0,0.00,1.00,0.00,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,2761620,2761620,0
BMKS3,BIC MO0RK,368.00,23/06/2023,31/03/2023,Individual,10.64,14.86,14.16,12.52,145.00,26.12,56.71,0.09,1.14,0.14,5.97,0.82,8.66,4.10,4.12,15.27,1.09,0.71,0.92,-1.30,-1.33,-0.74,-0.35,-0.35,-0.06,15.70,7901,167348000,454750,454750,0
BIOM3,BIOMM,5.75,23/06/2023,31/03/2023,Consolidado,-20.94,-19.26,-52.47,-22.03,-78.65,17.20,-70.48,0.28,2.66,1.66,-5.22,3.31,4.11,-5.90,-5.49,-5.83,-3.39,1.24,4.82,-7.41,-7.41,5.23,-6.99,-7.51,1.58,0.00,87392,467404988,81287824,81287824,0
BLAU3,BLAU,21.31,23/06/2023,31/03/2023,Consolidado,15.78,14.52,21.27,15.40,26.18,45.40,29.09,0.59,1.36,0.36,10.80,2.08,2.83,16.73,44.02,9.72,6.17,1.53,2.97,10.47,9.87,3.05,47.40,18.01,1.64,3.47,8468747,3822884840,179393939,179393939,0
SOJA3,BOA SAFRA,10.73,23/06/2023,31/03/2023,Consolidado,0,0,0,0,7.96,11.03,7.99,0,2.06,1.06,8.37,1.57,0.67,-45.57,-4.24,8.34,-5.18,0.76,2.06,9.23,8.80,0.74,-4.70,-50.46,0.84,0.77,2970085,1256915698,117140326,117140326,0
BOAS3,BOA VISTA,7.79,23/06/2023,31/03/2023,Consolidado,117.11,14.63,13.62,11.49,32.69,57.20,21.59,0.35,1.23,0.23,14.53,1.85,4.75,8.28,8.29,22.00,4.77,1.50,2.99,14.46,7.16,3.12,5.45,5.44,0.99,3.26,6458539,4149061074,532613745,532613745,0
BOBR3,BOMBRIL,1.00,14/01/2020,31/03/2023,Consolidado,32.40,127.22,-32.60,7.88,4.35,37.28,13.69,1.81,-6.42,-7.42,3.94,-1.90,0.17,1.83,2.09,1.25,-0.22,0.30,-1.78,3.41,3.01,0.47,5.69,4.98,0.81,0.00,0,360054293,260509779,137615317,122894462
BOBR4,BOMBRIL,1.81,23/06/2023,31/03/2023,Consolidado,32.40,127.22,-32.60,7.88,4.35,37.28,13.69,1.81,-6.42,-7.42,7.13,-3.45,0.31,3.31,3.78,2.26,-0.41,0.54,-3.21,3.41,3.01,0.47,5.69,4.98,0.81,0.00,138829,360054293,260509779,137615317,122894462
BRBI11,BR PARTNERS,14.05,23/06/2023,31/03/2023,Consolidado,0.93,0.95,0,0,0,52.12,11.09,0.12,10.86,9.86,0,1.86,2.96,27.26,138.50,26.71,-0.10,0.17,-0.20,0,0,0,0,0,0,7.05,781186,0,314987112,200546184,114440928
BRPR3,BR PROPERT,80.80,23/06/2023,31/03/2023,Consolidado,-14.44,-15.25,-21.72,-13.58,-625.75,100.00,-860.75,0.02,2.56,1.56,-0.61,0.50,3.82,-4.10,-4.06,-0.44,-0.27,0.20,-1.75,-0.25,-0.26,2.19,-2.33,-2.35,0.11,255.93,9737342,938153610,11610812,11610812,0
BRAP3,BRADESPAR,21.09,23/06/2023,31/03/2023,Consolidado,34.05,34.05,46.61,46.29,0,0,0,0.00,1.08,0.08,2.32,1.12,0,8.10,8.11,2.38,-21.71,1.03,41.23,2.28,2.28,0,7.77,7.77,0.99,12.63,1294601,8734293184,393096610,137989898,255106712
BRAP4,BRADESPAR,22.83,23/06/2023,31/03/2023,Consolidado,34.05,34.05,46.61,46.29,0,0,0,0.00,1.08,0.08,2.51,1.21,0,8.77,8.77,2.57,-23.50,1.12,44.63,2.28,2.28,0,7.77,7.77,0.99,12.83,73620725,8734293184,393096610,137989898,255106712
AGRO3,BRASILAGRO,25.25,23/06/2023,31/03/2023,Consolidado,1.52,1.62,2.31,1.63,4.93,14.46,5.37,0.33,1.64,0.64,45.40,1.27,2.24,12.01,15.22,41.61,-4.81,0.78,3.41,52.63,22.59,2.83,19.25,15.19,0.98,12.83,10338004,2585019452,102377008,102377008,0
BRKM3,BRASKEM,29.35,23/06/2023,31/03/2023,Consolidado,1.27,2.02,-34.79,-4.64,-4.52,8.08,1.12,1.03,11.56,10.56,-5.80,2.99,0.26,5.27,-26.88,23.43,-0.33,0.26,1.86,49.68,8.33,0.56,-56.98,11.16,0.55,0.00,848687,23318575916,797207834,451668652,345539182
BRKM5,BRASKEM,29.12,23/06/2023,31/03/2023,Consolidado,1.27,2.02,-34.79,-4.64,-4.52,8.08,1.12,1.03,11.56,10.56,-5.75,2.96,0.26,5.22,-26.67,23.25,-0.33,0.26,1.84,49.68,8.33,0.56,-56.98,11.16,0.55,0.00,109934194,23318575916,797207834,451668652,345539182
BRFS3,BRF SA,9.50,23/06/2023,31/03/2023,Consolidado,0.58,0.54,-21.15,-4.73,-4.78,15.82,0.38,0.99,5.62,4.62,-3.90,1.00,0.19,2.51,3.64,48.44,-0.24,0.18,2.45,124.62,7.97,0.48,9.36,6.45,0.46,0.00,125182638,10283495837,1082473246,1082473246,0
BRIT3,BRISANET,2.65,23/06/2023,31/03/2023,Consolidado,7.51,7.28,5.67,2.69,7.21,44.44,19.89,0.37,2.13,1.13,15.56,0.85,1.12,3.56,-10.19,5.64,-0.94,0.40,3.58,10.70,4.54,2.13,-19.32,6.75,0.75,1.22,1638084,1190101527,449094916,449094916,0
BRQB3,BRQ,0,0,31/03/2023,Consolidado,48.34,50.50,63.59,23.46,11.02,36.99,17.54,2.13,2.01,1.01,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,133186083,133186083,0
CABI3B,CABINDA PART,0,0,31/03/2023,Individual,-1501.50,-1501.50,-91.92,-68.94,0,0,0,0.00,2.29,1.29,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,2548000,2548000,0
CXSE3,CAIXA SEGURI,10.38,23/06/2023,31/03/2023,Consolidado,21.74,21.74,29.10,28.81,0,0,0,0.00,1.07,0.07,9.62,2.64,0,15.19,0,8.50,55.63,2.47,22.38,8.50,8.50,0,0,15.19,2.47,8.32,24725558,31140000000,3000000000,3000000000,0
CAMB3,CAMBUCI,9.50,23/06/2023,31/03/2023,Consolidado,25.80,29.08,53.78,20.54,14.62,45.86,21.51,1.40,2.07,1.07,5.79,2.15,0.85,7.49,12.62,3.93,-3.44,1.04,4.87,4.84,4.37,1.04,15.54,9.22,1.28,1.87,454461,401613260,42275080,42275080,0
CAML3,CAMIL,7.97,23/06/2023,28/02/2023,Consolidado,11.29,9.60,12.28,4.46,3.46,20.77,6.72,1.29,3.07,2.07,7.89,0.93,0.27,-20.08,-6.30,4.07,-0.76,0.30,1.10,8.37,6.24,0.56,-12.96,-41.32,0.62,2.68,11120261,2789500000,350000000,350000000,0
CRFB3,CARREFOUR BR,11.31,23/06/2023,31/03/2023,Consolidado,10.33,12.81,7.20,2.15,1.16,19.08,4.56,1.86,4.36,3.36,18.95,1.18,0.22,5.40,22.63,4.81,-0.33,0.27,-5.89,8.56,6.17,0.39,40.31,9.63,0.48,2.33,103132634,23838817977,2107764631,2107764631,0
CASN3,CASAN,10.45,28/04/2023,31/03/2023,Individual,9.63,5.35,3.50,1.55,4.10,43.81,16.97,0.38,2.33,1.33,163.77,5.25,6.71,110.93,-22.37,39.54,-3.61,2.25,-43.02,45.68,29.45,7.75,-25.84,128.17,2.60,0.21,16,9710529037,949739585,473629304,476110281
CASN4,CASAN,10.00,24/03/2020,31/03/2023,Individual,9.63,5.35,3.50,1.55,4.10,43.81,16.97,0.38,2.33,1.33,156.72,5.02,6.42,106.15,-21.40,37.83,-3.45,2.15,-41.17,45.68,29.45,7.75,-25.84,128.17,2.60,0.00,0,9710529037,949739585,473629304,476110281
CBAV3,CBA,5.21,23/06/2023,31/03/2023,Consolidado,7.03,8.30,10.24,4.44,6.25,13.67,9.93,0.71,2.54,1.54,5.87,0.60,0.37,9.19,-4.18,3.70,-0.59,0.24,1.13,7.01,4.25,0.70,-7.91,17.40,0.45,8.46,26894894,3104291665,595833333,595833333,0
CCRO3,CCR SA,14.15,23/06/2023,31/03/2023,Consolidado,25.12,10.39,11.41,2.78,8.56,44.61,35.86,0.32,4.21,3.21,21.82,2.37,1.87,4.08,4.32,5.21,-0.70,0.56,-14.98,9.63,7.35,3.45,7.98,7.54,1.04,2.33,127651733,28583000000,2020000000,2020000000,0
CEAB3,CEA MODAS,5.43,23/06/2023,31/03/2023,Consolidado,5.14,5.89,0.96,0.33,0.44,50.80,5.56,0.75,3.15,2.15,61.51,0.58,0.27,1.14,1.52,4.84,-0.36,0.19,1.09,7.05,2.37,0.39,2.21,1.66,0.27,0.00,18168416,1673770719,308245068,308245068,0
CEBR3,CEB,12.75,23/06/2023,31/03/2023,Consolidado,59.21,141.74,24.15,14.21,62.67,54.61,87.90,0.23,1.43,0.43,4.38,0.89,2.75,4.91,0,3.13,4.01,0.62,1.37,0.74,0.72,0.65,0,1.16,0.15,11.70,133598,927361452,72081915,35920890,36161025
CEBR6,CEB,12.98,23/06/2023,31/03/2023,Consolidado,59.21,141.74,24.15,14.21,62.67,54.61,87.90,0.23,1.43,0.43,4.46,0.91,2.80,5.00,0,3.18,4.08,0.64,1.39,0.74,0.72,0.65,0,1.16,0.15,24.13,263579,927361452,72081915,35920890,36161025
CEDO3,CEDRO,9.29,23/06/2023,31/03/2023,Consolidado,15.51,19.56,7.75,1.09,0.77,19.74,8.32,1.43,6.89,5.89,9.88,0.71,0.08,26.73,-3.80,0.91,-0.12,0.10,4.97,3.16,2.59,0.26,-13.20,92.79,0.36,0.00,131625,91096984,10000000,5707104,4292896
CEDO4,CEDRO,8.87,23/06/2023,31/03/2023,Consolidado,15.51,19.56,7.75,1.09,0.77,19.74,8.32,1.43,6.89,5.89,9.43,0.68,0.07,25.53,-3.63,0.87,-0.12,0.10,4.75,3.16,2.59,0.26,-13.20,92.79,0.36,0.00,216587,91096984,10000000,5707104,4292896
CEED3,CEEE-D,22.98,23/06/2023,31/03/2023,Individual,9.22,-195.16,9.12,-3.89,-5.14,14.25,7.39,0.76,-2.58,-3.58,-6.49,-0.58,0.33,3.61,3.61,4.51,-0.17,0.22,4.29,12.94,8.81,0.96,10.37,10.37,0.65,0.00,6104,1569649670,68254930,68090916,164014
CEED4,CEEE-D,30.00,24/03/2023,31/03/2023,Individual,9.22,-195.16,9.12,-3.89,-5.14,14.25,7.39,0.76,-2.58,-3.58,-8.47,-0.76,0.44,4.72,4.72,5.89,-0.22,0.29,5.60,12.94,8.81,0.96,10.37,10.37,0.65,0.00,0,1569649670,68254930,68090916,164014
