ação,empresa,p,data_p,data_dem_financ_,consolidação,rotanc,roinvc,rpl,roa,margem_líquida,margem_bruta,margem_ebit,giro_ativo,alav_financ_,passivo_pl,p_lucro,p_vpa,p_rec_líq_,p_fco,p_fcf,p_ebit,p_ncav,p_ativo_total,p_cap_giro,ev_ebit,ev_ebitda,ev_rec_líq_,ev_fco,ev_fcf,ev_ativo_total,div_yield,volume_financ_(r$),market_cap(r$),#_ações_total,#_ações_ord_,#_ações_pref_
TIMS3,TIM,14.53,23/06/2023,31/03/2023,Consolidado,0,0,0,0,7.67,50.43,14.50,0,2.24,1.24,16.88,1.39,1.29,3.08,6.53,8.93,-1.01,0.62,-10.15,10.50,3.30,1.52,7.68,3.63,0.73,5.79,87134052,35174287903,2420804398,2420804398,0
SHOW3,TIME FOR FUN,2.52,23/06/2023,31/03/2023,Consolidado,87.28,31.66,-4.02,-0.98,-1.41,23.24,10.70,0.70,4.90,3.90,-30.66,1.30,0.43,5.56,6.17,4.03,-0.38,0.27,2.58,2.16,1.89,0.23,3.31,2.98,0.14,0.00,783368,169879825,67412629,67412629,0
TOTS3,TOTVS,29.77,23/06/2023,31/03/2023,Consolidado,65.02,14.13,11.90,5.09,12.95,70.06,17.60,0.39,2.38,1.38,35.83,4.27,4.64,21.88,25.56,26.37,-6.02,1.80,6.39,25.16,18.69,4.43,24.39,20.88,1.71,1.04,131092046,18373543298,617183181,617183181,0
TFCO4,TRACK FIELD,12.49,23/06/2023,31/03/2023,Consolidado,28.27,28.57,35.29,20.97,17.03,57.40,21.59,1.23,1.69,0.69,116.73,34.05,19.87,176.44,373.76,92.04,337.24,20.19,43.23,92.26,87.04,19.92,374.64,176.86,20.23,1.50,1460728,11856060545,949244239,877251375,71992864
TRPL3,TRAN PAULIST,30.30,23/06/2023,31/03/2023,Consolidado,8.52,10.98,16.57,8.22,43.59,60.18,65.79,0.19,1.99,0.99,8.09,1.18,3.53,31.41,33.15,5.36,-1.52,0.59,5.36,6.84,6.79,4.50,42.28,40.05,0.75,3.51,46229,18151890126,658883304,257937732,400945572
TRPL4,TRAN PAULIST,25.78,23/06/2023,31/03/2023,Consolidado,8.52,10.98,16.57,8.22,43.59,60.18,65.79,0.19,1.99,0.99,6.88,1.00,3.00,26.72,28.20,4.56,-1.30,0.50,4.56,6.84,6.79,4.50,42.28,40.05,0.75,4.12,42452958,18151890126,658883304,257937732,400945572
LUXM3,TREVISA,10.00,25/05/2015,31/03/2023,Consolidado,10.36,12.06,10.49,7.07,7.88,28.58,14.45,0.90,1.40,0.40,4.84,0.47,0.38,1.72,5.38,2.64,-1.14,0.33,-56.17,17.20,9.97,2.48,35.04,11.17,2.18,11.80,0,339872880,20784000,9192000,11592000
LUXM4,TREVISA,21.39,22/06/2023,31/03/2023,Consolidado,10.36,12.06,10.49,7.07,7.88,28.58,14.45,0.90,1.40,0.40,10.36,1.01,0.82,3.67,11.51,5.65,-2.44,0.72,-120.15,17.20,9.97,2.48,35.04,11.17,2.18,2.78,7387,339872880,20784000,9192000,11592000
TRIS3,TRISUL,5.75,23/06/2023,31/03/2023,Consolidado,5.23,5.71,6.95,3.73,10.19,27.61,15.79,0.37,2.02,1.02,12.54,0.83,1.28,-4.09,0,8.09,13.79,0.41,0.77,13.08,12.83,2.07,0,-6.60,0.67,2.39,3421514,1073050844,186617538,186617538,0
TPIS3,TRIUNFO PART,3.95,23/06/2023,31/03/2023,Consolidado,34.01,5.27,-4.49,-1.32,-3.41,26.30,17.54,0.39,3.47,2.47,-17.76,0.84,0.61,2.10,2.16,3.46,-0.28,0.24,-1.78,8.77,4.34,1.54,5.48,5.33,0.61,1.16,367047,173800000,44000000,44000000,0
TUPY3,TUPY,26.00,23/06/2023,31/03/2023,Consolidado,12.62,13.08,21.33,8.18,5.36,18.67,7.58,1.53,3.22,2.22,6.59,1.21,0.35,7.69,304.47,4.65,-0.98,0.37,1.21,7.43,5.21,0.56,486.05,12.28,0.60,4.59,19084048,3748615000,144177500,144177500,0
UGPA3,ULTRAPAR,18.11,23/06/2023,31/03/2023,Consolidado,8.98,8.99,15.28,4.28,1.13,5.33,2.43,3.79,2.84,1.84,12.54,1.70,0.14,8.16,13.14,5.83,-1.37,0.60,2.80,8.44,6.48,0.20,19.01,11.80,0.86,0.55,123483513,20196349710,1115204291,1115204291,0
UCAS3,UNICASA,2.83,23/06/2023,31/03/2023,Consolidado,6.29,6.59,14.80,8.38,11.16,34.37,6.46,0.75,1.66,0.66,7.11,0.97,0.79,6.74,-28.12,12.29,-1.76,0.59,9.26,10.20,6.51,0.66,-23.35,5.59,0.49,6.42,67592,187024410,66086364,66086364,0
FIQE3,UNIFIQUE,4.03,23/06/2023,31/03/2023,Consolidado,25.69,16.02,12.71,7.63,16.94,45.43,26.02,0.45,1.86,0.86,11.81,1.43,2.00,4.00,10.34,7.69,-2.38,0.76,5.35,7.99,4.11,2.08,10.74,4.16,0.79,2.08,566574,1459059924,362049609,362049609,0
UNIP3,UNIPAR,75.19,23/06/2023,31/03/2023,Consolidado,30.91,36.02,42.85,17.54,16.30,42.10,29.41,1.08,2.36,1.36,6.90,3.05,1.12,4.66,5.84,3.82,-3.73,1.29,5.63,4.10,3.65,1.20,6.26,4.99,1.39,15.88,1103051,8044907167,103876158,36308767,67567391
UNIP6,UNIPAR,78.66,23/06/2023,31/03/2023,Consolidado,30.91,36.02,42.85,17.54,16.30,42.10,29.41,1.08,2.36,1.36,7.22,3.19,1.18,4.88,6.11,4.00,-3.91,1.35,5.88,4.10,3.65,1.20,6.26,4.99,1.39,33.48,18377708,8044907167,103876158,36308767,67567391
UPKP3B,UPTICK,0,0,31/03/2023,Individual,23.18,19.30,28.25,27.80,0,0,0,0.00,1.01,0.01,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,52437003,52437003,0
USIM3,USIMI0S,7.38,23/06/2023,31/03/2023,Consolidado,4.63,5.38,3.92,2.30,2.82,15.21,5.89,0.82,1.70,0.70,10.30,0.39,0.29,4.09,464.48,4.93,-6.06,0.23,0.62,5.71,3.82,0.34,537.72,4.74,0.27,4.05,2504603,9165551053,1253079108,705260684,547818424
USIM5,USIMI0S,7.23,23/06/2023,31/03/2023,Consolidado,4.63,5.38,3.92,2.30,2.82,15.21,5.89,0.82,1.70,0.70,10.09,0.38,0.28,4.01,455.04,4.83,-5.94,0.23,0.60,5.71,3.82,0.34,537.72,4.74,0.27,9.09,83354284,9165551053,1253079108,705260684,547818424
VALE3,VALE,65.90,23/06/2023,31/03/2023,Consolidado,16.06,22.72,46.21,18.67,38.57,41.14,32.52,0.48,2.34,1.34,3.63,1.58,1.40,4.72,8.47,4.31,-1.21,0.67,38.45,4.91,3.98,1.60,9.66,5.38,0.77,8.64,1872306714,299120599522,4539007580,4539007568,12
VLID3,VALID,14.86,23/06/2023,31/03/2023,Consolidado,16.00,11.11,10.75,4.16,6.27,37.04,17.15,0.66,2.13,1.13,9.89,0.95,0.62,2.34,2.60,3.62,-1.56,0.45,1.85,5.31,3.91,0.91,3.83,3.44,0.66,2.98,4795830,1216088533,81836375,81836375,0
VAMO3,VAMOS,12.00,23/06/2023,31/03/2023,Consolidado,13.59,14.29,26.03,6.58,12.67,42.39,32.87,0.52,4.76,3.76,17.19,3.24,2.18,-4.36,-4.23,6.62,-0.98,0.68,6.93,11.02,9.17,3.62,-7.04,-7.25,1.13,2.32,71676386,12304775640,1025397970,1025397970,0
VSTE3,VESTE,18.23,23/06/2023,31/03/2023,Consolidado,20.17,12.69,-20.62,7.89,11.01,63.44,20.55,0.72,1.60,0.60,17.08,2.02,1.88,13.16,16.78,9.15,-5.04,1.26,10.11,10.31,5.80,2.12,18.91,14.83,1.42,0.63,574349,2067772825,113426924,113426924,0
VIIA3,VIA,2.38,23/06/2023,31/03/2023,Consolidado,3.79,5.02,-11.66,-1.89,-2.13,31.36,3.40,0.89,6.76,5.76,-5.79,0.75,0.12,0.88,1.06,3.63,-0.12,0.11,-1.04,11.42,5.50,0.39,3.34,2.78,0.35,0.00,123112429,3804266468,1598431289,1598431289,0
VBBR3,VIBRA,18.38,23/06/2023,31/03/2023,Consolidado,9.11,10.11,10.28,3.51,0.71,3.64,1.87,4.94,3.17,2.17,16.56,1.69,0.12,5.68,7.04,6.30,-1.49,0.53,1.63,9.67,8.32,0.18,10.80,8.72,0.82,4.02,187325070,21412700000,1165000000,1165000000,0
VITT3,VITTIA,11.25,23/06/2023,31/03/2023,Consolidado,16.20,15.91,29.63,16.70,17.41,39.16,21.10,0.96,1.63,0.63,10.96,2.74,1.91,10.69,15.80,9.04,444.31,1.68,4.27,10.45,9.50,2.21,18.26,12.35,1.94,2.93,2526233,1609302454,143049107,143049107,0
VIVA3,VIVARA SA,28.11,23/06/2023,31/03/2023,Consolidado,13.97,16.99,24.60,13.96,18.63,69.27,20.03,0.75,1.70,0.70,18.78,3.92,3.50,55.66,-657.85,17.47,-42.42,2.30,6.42,17.73,13.49,3.55,-667.80,56.50,2.34,1.30,50285703,6639519287,236197769,236197769,0
VVEO3,VIVEO,20.03,23/06/2023,31/03/2023,Consolidado,15.11,11.98,9.09,2.93,2.07,15.87,5.65,1.42,3.86,2.86,28.71,2.47,0.59,110.13,-55.81,10.51,-1.36,0.64,2.36,15.11,13.91,0.85,-80.24,158.35,0.92,1.38,4859758,5731050901,286123360,286123360,0
VIVR3,VIVER,3.18,23/06/2023,31/03/2023,Consolidado,-31.68,328.29,14.84,-9.54,-24.54,29.41,-49.76,0.39,10.42,9.42,-24016.94,22412.11,5893.24,-18140.21,-17532.75,-11842.38,-2615.95,2149.85,26137.39,-1.14,-1.16,0.57,-1.69,-1.75,0.21,0.00,2320474,74661468,23478449,23478449,0
VULC3,VULCABRAS,17.15,23/06/2023,31/03/2023,Consolidado,21.99,20.07,35.55,24.23,18.99,37.82,17.96,1.28,1.51,0.51,8.44,2.35,1.60,13.31,24.95,8.93,18.73,1.55,3.68,9.14,7.72,1.64,25.54,13.62,1.59,3.52,8315429,4217463585,245916244,245916244,0
LVTC3,WDC NETWORKS,6.15,23/06/2023,31/03/2023,Consolidado,6.17,7.90,2.99,1.44,1.76,22.14,6.83,0.82,2.29,1.29,21.07,0.62,0.37,3.07,-3.18,5.42,-1.01,0.27,0.91,3.59,1.06,0.25,-2.11,2.04,0.18,0.22,407325,397677837,64663063,64663063,0
WEGE3,WEG,36.60,23/06/2023,31/03/2023,Consolidado,27.62,28.43,36.81,18.91,14.85,30.38,17.84,1.27,1.95,0.95,33.61,10.33,4.99,30.52,40.28,27.98,-30.74,5.31,16.97,27.67,25.02,4.94,39.84,30.19,5.25,1.51,251563164,153621838727,4197317998,4197317998,0
WEST3,WESTWING,1.62,23/06/2023,31/03/2023,Individual,-29.39,-29.59,-15.60,-12.48,-24.37,42.02,-35.21,0.51,1.34,0.34,-3.09,0.60,0.75,-3.84,0,-2.14,2.44,0.45,1.03,-0.74,-1.00,0.26,0,-1.32,0.16,0.00,306975,178855026,110404337,110404337,0
MWET3,WETZEL S/A,13.28,17/05/2023,31/03/2023,Consolidado,2.39,35.45,-50.59,10.33,8.41,15.94,2.02,1.23,-33.24,-34.24,1.10,-3.26,0.09,16.29,-2.63,4.57,-0.09,0.10,-5.17,15.62,9.12,0.32,-8.99,55.66,0.34,0.00,41,23790515,2058003,686001,1372002
MWET4,WETZEL S/A,10.70,23/06/2023,31/03/2023,Consolidado,2.39,35.45,-50.59,10.33,8.41,15.94,2.02,1.23,-33.24,-34.24,0.89,-2.63,0.07,13.12,-2.12,3.68,-0.08,0.08,-4.17,15.62,9.12,0.32,-8.99,55.66,0.34,0.00,16127,23790515,2058003,686001,1372002
WHRL3,WHIRLPOOL,4.60,23/06/2023,31/03/2023,Consolidado,20.38,25.88,17.98,4.29,3.38,16.17,6.76,1.27,3.74,2.74,19.06,3.02,0.64,5.81,8.13,9.54,-1.17,0.81,20.46,8.57,7.11,0.58,7.31,5.22,0.73,4.07,8569,6988669246,1502786006,1028700892,474085114
WHRL4,WHIRLPOOL,4.76,23/06/2023,31/03/2023,Consolidado,20.38,25.88,17.98,4.29,3.38,16.17,6.76,1.27,3.74,2.74,19.73,3.12,0.67,6.01,8.42,9.87,-1.21,0.84,21.17,8.57,7.11,0.58,7.31,5.22,0.73,4.32,24031,6988669246,1502786006,1028700892,474085114
PORT3,WILSON SONS,13.90,23/06/2023,31/03/2023,Consolidado,8.83,9.09,12.16,5.10,11.70,44.66,25.82,0.44,2.55,1.55,22.55,2.71,2.64,9.43,20.00,10.22,-1.69,1.06,-46.95,14.26,9.80,3.68,27.90,13.16,1.48,3.38,3902950,6115845710,439988900,439988900,0
WIZC3,WIZ CO,6.46,23/06/2023,31/03/2023,Consolidado,156.26,43.81,32.30,5.93,11.37,57.99,36.42,0.52,5.87,4.87,9.14,2.64,1.04,1.95,1.96,2.85,-0.55,0.45,26.58,3.75,2.96,1.36,2.58,2.56,0.59,6.89,3313106,1033001042,159907282,159907282,0
WLMM3,WLM IND COM,20.00,25/04/2023,31/03/2023,Consolidado,20.10,21.96,22.01,17.71,5.71,13.10,7.72,3.10,1.34,0.34,5.94,1.13,0.34,-6.97,-5.79,4.40,6.25,0.84,2.15,4.72,4.60,0.36,-6.21,-7.48,0.90,4.98,154,758058575,36414670,16571220,19843450
WLMM4,WLM IND COM,21.50,23/06/2023,31/03/2023,Consolidado,20.10,21.96,22.01,17.71,5.71,13.10,7.72,3.10,1.34,0.34,6.39,1.21,0.37,-7.49,-6.22,4.73,6.71,0.90,2.31,4.72,4.60,0.36,-6.21,-7.48,0.90,5.85,35559,758058575,36414670,16571220,19843450
YDUQ3,YDUQS PART,18.43,23/06/2023,31/03/2023,Consolidado,9.11,5.70,0.44,0.14,0.31,57.39,15.09,0.47,3.09,2.09,391.83,1.84,1.22,7.57,9.57,8.06,-1.05,0.60,5.51,14.68,7.29,2.21,17.43,13.79,1.08,0.00,63698475,5696507524,309088851,309088851,0
ZAMP3,ZAMP SA,5.19,23/06/2023,31/03/2023,Consolidado,4.22,2.82,-5.19,-2.14,-2.13,64.65,2.54,1.00,2.83,1.83,-17.96,1.00,0.38,3.52,14.02,15.09,-0.57,0.35,16.05,26.53,4.91,0.67,24.65,6.19,0.62,0.00,7756396,1429094770,275355447,275355447,0
