ticker,preco,dy,p_l,p_vp,p_ativos,margem_bruta,margem_ebit,marg_liquida,p_ebit,ev_ebit,divida_liquida___ebit,div_liq___patri,psr,p_cap_giro,p_at_cir_liq,liq_corrente,roe,roa,roic,patrimonio___ativos,passivos___ativos,giro_ativos,cagr_receitas_5_anos,cagr_lucros_5_anos,liquidez_media_diaria,vpa,lpa,peg_ratio,valor_de_mercado
AALR3,23.85,0,-11.40,3.11,1.10,30.83,-1.55,-22.50,-165.78,-216.54,-50.55,0.95,2.57,-11.28,-1.32,0.63,-27.28,-9.62,-1.08,0.35,0.63,0.43,0.13,0,6114195.33,7.67,-2.09,-0.02,2824832446.08
ABCB4,18.06,8.68,5.27,0.77,0.08,30.57,22.37,17.25,4.06,4.05,0,0,0.91,-1.81,-0.08,0.13,14.65,1.45,0,0.10,0.91,0.08,18.70,12.65,18205933.15,23.40,3.43,0.21,4076404827.54
ABEV3,14.99,5.09,16.02,2.78,1.74,49.71,22.46,18.03,12.85,12.38,-0.48,-0.10,2.89,-930.86,-2.36,0.99,17.35,10.88,19.66,0.63,0.36,0.60,10.72,15.19,322705830.67,5.40,0.94,1.68,236149960927.16
ADHM3,1.56,0,-4.09,-1.29,105.12,100.00,-13548.48,-18860.61,-5.69,-5.69,0.00,0,770.90,-1.43,-116.16,0.00,-31.47,-2571.90,22.61,-81.72,82.72,0.14,0,0,0,-1.21,-0.38,-0.58,25439770.20
AERI3,1.32,0,-8.71,1.17,0.31,13.11,9.22,-4.20,3.97,7.81,3.87,1.14,0.37,1.00,-0.84,1.93,-13.47,-3.53,8.73,0.26,0.74,0.84,0,0,9351376.70,1.13,-0.15,0.03,1003739627.36
AESB3,11.91,0.90,56.65,1.63,0.36,33.16,25.99,4.28,9.34,19.63,10.29,1.79,2.43,2.22,-0.48,2.80,2.88,0.63,3.84,0.22,0.72,0.15,0,0,20608924.37,7.31,0.21,0,7174973547.12
AFLT3,9.49,2.77,15.26,2.21,1.94,59.73,49.97,48.96,14.95,14.48,-0.47,-0.07,7.47,10.29,-2.57,4.34,14.46,12.72,13.28,0.88,0.12,0.26,24.96,25.66,5777.80,4.30,0.62,-0.25,598673803.00
AGRO3,25.54,12.68,45.92,1.28,0.78,14.46,5.37,4.93,42.09,52.77,10.60,0.32,2.26,3.45,-1.33,2.25,2.79,1.71,1.65,0.61,0.39,0.35,59.78,15.83,14197103.37,19.91,0.56,-0.49,2619827634.72
AGXY3,5.91,0.67,22.90,0.70,0.09,13.59,5.16,0.39,1.74,3.84,2.09,0.84,0.09,1.16,-0.58,1.10,3.06,0.40,15.79,0.13,0.87,1.01,0,0,546890.48,8.45,0.26,-0.46,1014700434.66
AHEB3,22.09,0,2.87,26.05,0.52,40.25,24.45,15.94,1.87,1.47,-0.40,-5.56,0.46,5.06,-0.88,1.34,908.67,18.19,692.14,0.02,0.98,1.14,20.77,0,3314.50,0.85,7.70,-0.01,188246317.43
AHEB5,18.50,0,2.40,21.82,0.44,40.25,24.45,15.94,1.57,1.47,-0.40,-5.56,0.38,4.24,-0.74,1.34,908.67,18.19,692.14,0.02,0.98,1.14,20.77,0,4426.00,0.85,7.70,-0.01,188246317.43
AHEB6,18.51,0,2.40,21.83,0.44,40.25,24.45,15.94,1.57,1.47,-0.40,-5.56,0.38,4.24,-0.74,1.34,908.67,18.19,692.14,0.02,0.98,1.14,20.77,0,1851.00,0.85,7.70,-0.01,188246317.43
ALLD3,7.08,5.00,9.43,0.44,0.18,14.74,3.78,1.37,3.41,5.16,1.72,0.22,0.13,0.62,-0.60,1.70,4.62,1.90,7.70,0.41,0.59,1.39,14.71,29.93,512245.33,16.26,0.75,-0.13,665594955.48
ALPA3,10.05,0,-61.53,1.24,0.84,45.10,-3.22,-2.67,-51.03,-55.15,-6.73,0.16,1.64,3.47,-1.41,2.50,-2.01,-1.37,-2.56,0.68,0.32,0.51,2.36,0,66064.59,8.07,-0.16,0.52,6480199656.34
ALPA4,8.96,0,-55.13,1.11,0.75,45.10,-3.22,-2.67,-45.73,-55.15,-6.73,0.16,1.47,3.11,-1.26,2.50,-2.01,-1.37,-2.56,0.68,0.32,0.51,2.36,0,63021135.52,8.07,-0.16,0.46,6480199656.34
ALPK3,5.95,0,-8.58,3.33,0.47,29.35,8.26,-12.67,13.15,25.53,12.49,3.17,1.09,-4.99,-0.56,0.63,-38.84,-5.49,4.79,0.14,0.86,0.43,3.17,0,2682646.00,1.79,-0.69,0.32,1265116485.70
ALSC3,27.75,0,38.57,2.20,1.20,75.71,65.32,27.78,16.41,14.85,-1.56,-0.21,10.72,9.41,-1.43,5.39,5.69,3.12,11.21,0.55,0.44,0.11,2.54,19.34,0,12.64,0.72,0.58,5694242307.75
ALSO3,25.27,2.05,4.72,0.98,0.51,111.74,384.80,209.84,2.57,2.19,-0.38,-0.14,9.90,9.48,-0.57,1.93,20.82,10.71,25.62,0.51,0.45,0.05,25.65,85.92,124044892.56,25.74,5.36,0.00,14474688844.98
ALUP11,29.20,5.34,12.39,1.24,0.31,79.84,71.68,20.19,3.49,6.99,3.50,1.24,2.50,2.98,-0.39,2.15,10.00,2.51,10.38,0.25,0.62,0.12,20.04,16.77,25391458.96,23.57,2.36,-0.30,8898950185.60
ALUP3,9.78,5.32,12.45,1.24,0.31,79.84,71.68,20.19,3.51,6.99,3.50,1.24,2.51,2.99,-0.39,2.15,10.00,2.51,10.38,0.25,0.62,0.12,20.04,16.77,200456.59,7.86,0.79,-0.30,8898950185.60
ALUP4,9.73,5.34,12.39,1.24,0.31,79.84,71.68,20.19,3.49,6.99,3.50,1.24,2.50,2.98,-0.39,2.15,10.00,2.51,10.38,0.25,0.62,0.12,20.04,16.77,295380.44,7.86,0.79,-0.30,8898950185.60
AMAR3,0.88,0,-0.65,0.82,0.10,38.66,-8.56,-16.96,-1.29,-6.49,-5.21,3.30,0.11,-21.94,-0.20,0.99,-125.64,-15.90,-16.04,0.13,0.87,0.94,-0.89,0,7369905.85,1.07,-1.35,0.00,298273333.44
AMBP3,22.20,0.60,-30.65,2.08,0.24,22.22,15.80,-1.96,3.81,9.84,6.03,3.29,0.60,0.84,-0.44,2.85,-6.78,-0.79,6.58,0.12,0.83,0.40,83.52,0,27710993.26,10.68,-0.72,0.20,2502652630.08
AMER3,1.13,0,23.78,0.07,0.02,30.68,4.18,0.15,0.87,8.52,7.64,0.59,0.04,0.12,-0.04,1.84,0.28,0.10,1.24,0.35,0.65,0.65,21.42,0,22097800.74,16.74,0.05,-0.62,1019858338.39
ANDG3B,28.82,0,59.95,2.23,1.88,47.12,179.06,45.82,15.34,8.60,0.93,0.13,27.47,-25.32,-1.93,0.26,3.71,3.14,12.68,0.85,0.15,0.07,10.22,-38.09,0,12.94,0.48,-0.78,1651867985.68
ANDG4B,0.00,0,0.00,0.00,0.00,47.12,179.06,45.82,0.00,8.60,0.93,0.13,0.00,0.00,0.00,0.26,3.71,3.14,12.68,0.85,0.15,0.07,10.22,-38.09,0,12.94,0.48,0.00,1651867985.68
ANIM3,4.20,0,-18.99,0.63,0.16,58.09,9.68,-2.47,4.84,16.87,12.04,1.57,0.47,-38.26,-0.20,0.98,-3.34,-0.85,-0.86,0.25,0.70,0.34,27.79,0,36608305.70,6.63,-0.22,0.31,1692210292.95
APER3,28.81,1.12,15.39,0.71,0.44,100.00,6.80,8.34,18.89,12.95,-6.08,-0.23,1.28,9.84,-0.58,1.23,4.59,2.84,0.49,0.62,0.38,0.34,22.90,0,1038432.70,40.76,1.87,0.04,333268290.02
APTI3,197.64,0,-0.14,0.02,0.01,94.24,-93.35,-57.25,-0.09,-0.87,0.20,-0.04,0.08,0.03,-0.01,4.49,-12.62,-5.31,-23.70,0.42,0.58,0.09,4.07,0,0,10896.15,-1375.05,0.00,44442750.00
APTI4,3500.00,0,-2.55,0.32,0.14,94.24,-93.35,-57.25,-1.56,-0.87,0.20,-0.04,1.46,0.45,-0.22,4.49,-12.62,-5.31,-23.70,0.42,0.58,0.09,4.07,0,0,10896.15,-1375.05,-0.02,44442750.00
ARML3,14.62,1.72,34.45,4.44,1.35,47.15,33.52,14.01,14.40,18.18,3.80,1.17,4.83,6.21,-2.02,2.85,12.88,3.90,10.05,0.30,0.70,0.28,0,0,8709808.26,3.29,0.42,0.39,5051834198.60
ARZZ3,81.88,0.91,23.31,3.35,1.77,53.67,11.17,8.82,18.40,18.94,0.56,0.10,2.06,8.25,-3.72,1.69,14.35,7.60,12.76,0.53,0.47,0.86,25.49,20.34,131136849.59,24.48,3.51,-1.93,9074477482.56
