papel,cotação,p_l,p_vp,psr,div_yield,p_ativo,p_cap_giro,p_ebit,p_ativ_circ_liq,ev_ebit,ev_ebitda,mrg_ebit,mrg__líq_,liq__corr_,roic,roe,liq_2meses,patrim__líq,dív_brut__patrim_,cresc__rec_5a
LOGN3,51.94,14.45,6.07,2.484,0.00,1.631,13.05,17.06,-3.86,19.74,12.21,14.56,17.19,1.68,11.87,41.99,5623880.00,916376000.00,1.57,21.34
ENMT3,70.84,14.46,5.26,2.204,6.08,1.300,61.95,8.31,-2.65,10.77,9.50,26.51,15.24,1.09,16.94,36.34,43354.40,2950480000.00,1.71,14.49
PSSA3,28.93,14.47,1.72,0.638,4.50,0.364,7.48,0.77,-2.72,0.55,0.54,83.17,4.51,1.08,96.13,11.88,69800500.00,10876600000.00,0.49,12.73
TNCP3,184.85,14.59,2.52,3.129,0.00,1.717,53.30,12.00,-22.58,12.03,8.83,26.08,21.44,1.15,16.48,17.29,0.00,13081500000.00,0.09,97.79
KSSA3,5.33,14.66,1.40,0.916,0.00,0.406,1.72,5.62,6.73,12.30,12.30,16.31,8.42,1.47,7.67,9.58,0.00,553026000.00,1.80,40.68
ENMT4,71.85,14.67,5.33,2.235,5.99,1.318,62.83,8.43,-2.69,10.89,9.60,26.51,15.24,1.09,16.94,36.34,35646.00,2950480000.00,1.71,14.49
BSLI4,12.39,14.72,1.97,0.000,398.51,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.38,9558.09,2283600000.00,0.00,1.57
WEGE4,16.10,14.78,4.55,2.196,0.00,2.337,7.46,10.94,10.35,10.58,9.67,20.07,15.09,1.82,29.46,30.74,0.00,14867500000.00,0.23,27.24
ELUM4,47.90,14.79,1.99,1.251,0.00,1.178,3.07,19.64,3.34,14.90,14.90,6.37,8.46,2.02,9.40,13.47,0.00,443231000.00,0.08,8.40
CALI4,50.00,14.82,6.70,1.122,0.00,0.883,4.52,12.54,-2.19,16.45,16.06,8.95,7.57,1.72,8.24,45.23,0.00,27760000.00,2.91,142.33
TCOC3,38.85,14.90,1.80,2.225,0.00,1.307,3.78,14.48,4.39,12.23,12.23,15.37,14.93,2.53,13.98,12.06,0.00,2812920000.00,0.04,16.71
BOAS3,7.99,14.90,1.90,4.873,3.18,1.543,3.06,22.57,3.26,15.03,7.41,21.59,32.69,4.17,14.71,12.76,11203100.00,2238450000.00,0.00,10.66
DIRR3,19.20,15.05,2.47,1.479,5.27,0.514,1.58,8.23,-1.67,9.08,8.03,17.97,12.52,3.43,7.61,16.39,44670000.00,1350290000.00,1.05,14.24
RDCD3,35.16,15.07,14.74,7.936,0.00,0.925,21.14,13.40,22.70,14.25,14.26,59.23,52.65,1.05,6.97,97.78,0.00,1605520000.00,1.04,12.16
ENGI3,15.03,15.10,2.70,1.155,2.61,0.495,12.72,5.27,-0.97,9.04,7.36,21.91,8.88,1.18,10.90,17.88,127267.00,11350000000.00,2.52,13.19
AFLT3,9.43,15.17,2.19,7.426,6.30,1.930,10.22,14.82,15.41,14.35,14.28,50.11,48.96,4.34,14.04,14.46,4266.39,271165000.00,0.00,31.47
DMVF3,5.08,15.18,0.30,0.165,0.00,0.175,3.86,1.80,-1.24,1.59,0.94,9.15,1.08,1.19,12.00,2.00,270150.00,847883000.00,0.03,26.36
TMGC13,966.14,15.31,1.96,1.406,0.00,1.353,8.18,21.56,14.45,20.23,20.23,6.52,9.18,1.69,8.73,12.83,0.00,1167010000.00,0.05,10.49
BEMA3,10.80,15.32,1.22,1.293,0.00,0.808,3.18,14.34,11.45,14.43,8.11,9.01,8.44,2.66,6.96,7.95,0.00,457342000.00,0.19,10.58
BMOB3,13.80,15.37,1.18,0.888,1.61,0.929,1.97,12.30,2.09,6.67,4.12,7.22,5.77,3.56,15.07,7.66,5622960.00,1065980000.00,0.00,168.30
BPAC11,32.21,15.38,2.79,0.000,2.04,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.17,330535000.00,44207600000.00,0.00,84.30
INTB3,24.50,15.65,3.50,1.823,0.52,1.652,3.83,16.09,7.27,15.39,13.42,11.33,11.64,2.35,19.95,22.35,45545500.00,2294530000.00,0.44,35.88
ILMD3,29.00,15.73,2.63,0.683,0.00,1.395,5.70,14.13,7.53,13.13,13.13,4.84,4.92,1.60,12.52,16.69,0.00,658715000.00,0.02,0.65
ABEV3,14.85,15.87,2.75,2.860,5.13,1.727,-922.17,14.67,-17.14,14.12,10.42,19.50,18.56,0.99,15.59,17.35,305644000.00,84999600000.00,0.04,13.73
BSLI3,13.40,15.92,2.13,0.000,334.98,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.38,3587.66,2283600000.00,0.00,1.57
CRTP5,62.10,15.98,1.71,1.748,0.00,1.127,3.98,14.09,5.88,12.48,12.48,12.40,10.94,2.14,12.36,10.68,0.00,1210570000.00,0.12,10.11
BRIT3,2.76,16.21,0.88,1.169,1.17,0.414,3.73,4.89,-1.34,7.87,3.69,23.92,7.20,1.99,10.26,5.45,2611050.00,1403890000.00,0.87,35.68
GMAT3,8.02,16.22,2.30,0.768,0.00,1.291,2.91,14.39,5.76,15.65,12.15,5.34,4.79,3.08,12.49,14.20,51225800.00,7692330000.00,0.42,31.41
ILMD4,30.00,16.28,2.72,0.707,0.00,1.443,5.89,14.62,7.79,13.62,13.62,4.84,4.92,1.60,12.52,16.69,0.00,658715000.00,0.02,0.65
DURA4,31.39,16.35,2.22,2.182,0.00,1.224,17.24,10.12,-10.49,11.47,11.47,21.56,13.39,1.27,14.38,13.59,0.00,1789980000.00,0.52,10.94
ATOM3,2.69,16.44,2.55,2.140,11.91,1.690,1.96,26.25,2.62,15.54,14.38,8.15,13.01,8.27,21.78,15.51,71073.50,25102000.00,0.00,36.47
ODPV3,12.85,16.49,5.81,3.601,2.86,3.466,-19.28,11.52,-14.48,11.12,10.46,31.25,21.82,0.48,34.74,35.25,28654000.00,1221190000.00,0.00,3.50
VBBR3,18.31,16.50,1.68,0.117,4.04,0.530,1.62,6.85,-3.56,10.52,8.94,1.71,0.71,2.57,10.31,10.19,220238000.00,12695000000.00,1.36,18.09
CRIV4,5.47,16.52,0.53,0.000,8.67,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.20,4590.18,1063950000.00,0.00,2.82
DURA3,31.90,16.62,2.26,2.218,0.00,1.244,17.52,10.29,-10.66,11.64,11.64,21.56,13.39,1.27,14.38,13.59,0.00,1789980000.00,0.52,10.94
DPPI3,85.00,16.65,4.99,-1.453,0.00,3.753,8.70,190.72,9.75,177.18,177.18,-0.76,-5.04,3.14,3.00,29.97,0.00,545227000.00,0.06,15.14
CRIV3,5.52,16.67,0.53,0.000,0.00,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.20,6990.57,1063950000.00,0.00,2.82
EZTC3,19.89,16.76,0.97,4.052,1.44,0.785,2.16,41.28,3.02,39.59,34.57,9.81,25.61,5.48,2.24,5.81,44750600.00,4511870000.00,0.13,21.17
VIVT3,42.11,16.83,1.02,1.418,5.10,0.575,-26.04,10.98,-2.18,13.15,4.36,12.91,8.38,0.89,5.95,6.05,109613000.00,68768200000.00,0.28,2.61
BPAN4,9.05,16.87,1.48,0.000,2.82,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.74,20527700.00,7811560000.00,0.00,18.16
RRRP3,32.25,17.03,1.80,4.028,0.00,0.969,28.45,15.74,-3.67,16.47,10.21,25.58,22.70,1.22,6.99,10.58,204886000.00,4292690000.00,0.24,97.97
VSTE3,18.20,17.08,2.02,1.880,0.63,1.262,10.11,85.13,-26.23,95.22,11.47,2.21,11.01,1.62,1.68,11.83,438797.00,1021850000.00,0.28,-1.38
TIMP3,13.46,17.13,1.43,1.903,0.00,0.818,15.37,9.79,-3.78,9.72,3.77,19.44,11.11,1.34,9.67,8.33,0.00,22847800000.00,0.14,2.29
LREN3,20.42,17.15,2.03,1.464,3.61,0.999,3.92,6.80,11.88,6.67,4.88,21.53,8.54,1.75,18.57,11.86,448073000.00,9665780000.00,0.25,11.24
HYPE3,45.74,17.17,2.68,3.738,2.69,1.287,8.56,11.44,-6.04,14.47,13.50,32.68,21.81,1.96,12.05,15.62,176705000.00,10805300000.00,0.81,25.87
MTRE3,7.53,17.21,0.80,0.982,5.52,0.381,0.74,12.98,1.35,17.74,16.27,7.57,5.89,2.75,3.37,4.68,4218920.00,990067000.00,0.53,37.59
BMTO4,7.57,17.27,2.07,0.000,0.00,2.030,0.00,-2625.16,0.00,-2624.05,-1477.48,0.00,0.00,0.00,0.00,12.00,0.00,1046320000.00,0.00,0.00
LCAM3,24.15,17.42,2.47,1.726,4.56,0.575,5.09,5.57,-1.38,9.94,7.57,31.00,9.91,1.48,13.54,14.21,0.00,4965670000.00,2.38,38.55
ASAI3,14.00,17.54,4.75,0.325,0.62,0.484,-6.42,4.74,-0.83,6.94,5.43,6.85,1.85,0.81,17.40,27.09,347197000.00,3980000000.00,3.24,33.67
BFIT4,0.93,17.55,1.96,0.000,0.00,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.15,0.00,1849420000.00,0.00,35.67
SBFG3,13.64,17.56,1.40,0.520,1.00,0.403,2.28,8.29,-1.99,11.70,5.96,6.27,2.96,1.53,5.82,7.97,31304500.00,2374210000.00,0.72,42.16
RAIZ4,4.20,17.81,1.95,0.177,4.98,0.390,16.40,5.81,-1.06,10.03,4.65,3.04,1.02,1.06,9.19,10.97,100353000.00,22251700000.00,1.81,40.93
BMTO3,7.82,17.84,2.14,0.000,0.00,2.097,0.00,-2711.85,0.00,-2710.74,-1526.30,0.00,0.00,0.00,0.00,12.00,0.00,1046320000.00,0.00,0.00
PRNR3,10.16,17.87,1.79,0.427,2.54,0.518,2.41,3.35,-4.97,3.92,3.15,12.75,7.41,1.57,22.04,9.99,2427700.00,221358000.00,1.17,27.13
UCOP4,6.50,18.01,1.30,19.050,0.00,0.844,5.14,22.70,-8.61,24.17,41.56,83.92,110.51,13.37,3.91,7.23,0.00,972713000.00,0.16,9.25
CTSA3,4.01,18.04,0.36,0.272,0.00,0.178,-2.29,-5.84,-0.81,-12.76,-30.21,-4.66,1.51,0.78,-3.44,1.99,184869.00,311350000.00,0.51,1.35
VIVT4,45.34,18.12,1.10,1.527,0.00,0.619,-28.04,11.83,-2.34,13.99,4.64,12.91,8.38,0.89,5.95,6.05,0.00,68768200000.00,0.28,2.61
MYPK3,12.15,18.24,0.48,0.112,4.11,0.121,0.69,2.39,-0.64,7.95,4.91,4.68,1.30,1.48,7.37,2.65,24586400.00,3865180000.00,1.80,15.62
VAMO3,11.90,18.36,3.46,2.326,2.17,0.726,7.40,7.03,-1.45,10.85,9.04,33.07,12.67,1.51,13.23,18.83,97162300.00,3801930000.00,2.48,68.06
CTKA3,18.00,18.48,-0.77,0.179,0.00,0.190,0.70,3.10,-0.33,17.29,11.85,5.76,0.97,1.69,7.08,-4.16,196.34,-145301000.00,-3.68,20.47
BFIT3,0.98,18.49,2.06,0.000,0.00,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.15,0.00,1849420000.00,0.00,35.67
TMCP3,56.00,18.58,1.38,1.525,0.00,0.937,3.85,24.25,4.74,19.68,19.68,6.29,9.75,2.30,5.54,7.44,0.00,1798930000.00,0.03,10.49
UGPA4,27.10,18.76,2.54,0.212,0.00,0.894,4.19,7.95,-5.07,10.26,8.04,2.66,1.16,1.87,15.48,13.54,0.00,11891900000.00,1.13,12.43
SMLE3,92.82,18.88,21.91,6.635,0.00,6.477,-124.00,16.50,-42.31,16.32,13.20,40.22,35.14,0.91,46.17,116.04,0.00,524731000.00,0.00,36.83
WHRL3,4.63,19.19,3.04,0.649,4.04,0.813,20.59,10.86,-26.30,9.65,7.83,5.97,3.40,1.06,19.35,15.83,9640.59,2291260000.00,0.39,17.81
TMCP4,58.20,19.31,1.44,1.585,0.00,0.973,4.00,25.21,4.92,20.63,20.63,6.29,9.75,2.30,5.54,7.44,0.00,1798930000.00,0.03,10.49
LUXM3,10.00,19.37,1.88,1.526,0.00,1.339,-224.69,10.14,-8.89,10.06,5.93,15.06,7.88,0.96,14.44,9.70,0.00,110589000.00,0.06,2.49
WHRL4,4.69,19.44,3.08,0.657,4.39,0.823,20.86,11.00,-26.64,9.79,7.95,5.97,3.40,1.06,19.35,15.83,27854.50,2291260000.00,0.39,17.81
CRFB3,11.63,19.52,1.22,0.226,2.99,0.279,-6.07,4.98,-0.88,8.72,6.27,4.53,1.36,0.90,7.05,6.23,97156900.00,20162000000.00,1.04,17.50
MOAR3,425.00,19.63,4.95,0.000,1.77,2.216,8.20,-154.06,-18.03,-156.02,-157.84,0.00,0.00,2.70,-2.38,25.19,362613.00,1052850000.00,0.95,-29.48
TFCO4,12.49,19.64,5.73,3.344,1.79,3.396,7.27,15.61,10.46,15.82,14.92,21.43,17.03,2.76,27.52,29.17,1930420.00,348237000.00,0.26,47.31
VIVA3,29.41,19.65,4.11,3.660,1.24,2.410,6.72,18.30,14.13,18.12,13.78,20.00,18.63,2.59,15.74,20.89,55961300.00,1692090000.00,0.13,33.87
CSAB3,30.07,19.70,1.17,348.322,2.00,0.579,0.00,21.16,0.00,0.00,0.00,1646.30,1767.72,0.00,0.00,5.95,1064.86,196979000.00,0.00,-20.21
B3SA3,14.36,19.83,4.07,8.123,2.80,1.824,10.24,15.19,-8.64,14.73,12.39,53.48,40.98,2.10,17.50,20.51,585895000.00,20547500000.00,0.57,19.28
AUTM3,19.70,20.00,1.90,0.709,0.00,0.547,4.08,6.78,-2.42,8.22,8.99,10.47,4.31,1.48,11.93,9.50,0.00,1304250000.00,0.97,28.21
AEDU11,37.35,20.13,1.13,1.405,0.00,0.732,5.77,13.93,-7.31,16.14,10.82,10.08,6.98,2.04,5.77,5.60,0.00,2415400000.00,0.30,20.90
JPSA3,29.02,20.27,1.93,4.667,0.29,0.468,2.34,12.96,-1.68,20.35,12.83,36.02,46.31,5.31,4.56,9.51,7666510.00,1762140000.00,1.94,1.01
CPLE3,8.03,20.46,1.02,1.005,4.16,0.414,8.45,5.45,-1.03,8.38,6.30,18.45,5.10,1.35,8.37,5.01,9045160.00,21443800000.00,0.69,11.51
TIMS3,14.19,20.47,1.36,1.531,5.98,0.607,-9.91,9.55,-1.60,11.18,3.72,16.02,7.48,0.74,7.36,6.65,84858200.00,25215500000.00,0.39,8.57
MULT3,27.51,20.53,2.46,8.940,3.08,1.496,38.45,12.09,-6.49,13.45,11.72,73.93,43.54,1.32,13.94,11.97,147642000.00,6723250000.00,0.45,9.16
CPLE11,40.31,20.54,1.03,1.009,4.47,0.416,8.49,5.47,-1.03,8.40,6.31,18.45,5.10,1.35,8.37,5.01,7403740.00,21443800000.00,0.69,11.51
CPLE6,8.10,20.63,1.03,1.014,4.53,0.418,8.53,5.49,-1.04,8.42,6.33,18.45,5.10,1.35,8.37,5.01,114068000.00,21443800000.00,0.69,11.51
LAME4,6.55,20.99,1.89,0.476,0.00,0.282,1.19,7.32,-4.32,11.24,5.46,6.51,2.51,1.72,6.53,9.02,0.00,6514640000.00,2.54,9.72
LAME3,6.62,21.22,1.91,0.481,0.00,0.285,1.20,7.40,-4.37,11.32,5.49,6.51,2.51,1.72,6.53,9.02,0.00,6514640000.00,2.54,9.72
CCRO3,13.78,21.25,2.31,1.819,2.39,0.548,-14.59,5.30,-1.02,9.42,7.10,34.28,9.13,0.85,12.22,10.86,118783000.00,12058900000.00,2.39,14.41
PORT3,13.16,21.40,2.57,2.503,3.56,1.009,-44.55,10.24,-2.18,14.48,9.78,24.45,12.14,0.87,10.66,12.02,4607070.00,2250310000.00,1.19,-13.29
BALM4,9.85,21.66,0.70,0.571,2.19,0.388,0.87,4.11,1.46,3.14,2.66,13.89,2.59,2.71,12.25,3.22,2832.20,138227000.00,0.18,4.72
GGPS3,17.58,21.71,4.32,1.223,1.47,1.265,3.56,11.99,-9.77,12.37,10.32,10.19,5.64,2.60,15.53,19.89,31435400.00,2736590000.00,1.19,34.16
LVTC3,6.35,21.76,0.64,0.382,0.21,0.280,0.94,1.86,-3.74,1.25,0.70,20.53,1.76,2.54,17.68,2.95,443688.00,639910000.00,0.00,-0.76
CRTP3,86.50,22.26,2.38,2.435,0.00,1.570,5.55,19.63,8.19,18.02,18.02,12.40,10.94,2.14,12.36,10.68,0.00,1210570000.00,0.12,10.11
BSCT6,2.58,22.49,2.04,0.000,0.00,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.05,0.00,212960000.00,0.00,1.92
TCSA3,3.76,22.61,0.47,0.840,0.00,0.177,0.42,-6.38,-6.10,-17.19,-22.85,-13.15,4.23,3.75,-3.18,2.06,420791.00,594084000.00,1.11,1.14
RSIP4,0.44,22.70,1.32,0.875,0.00,0.433,-10.98,9.53,-1.46,18.48,33.21,9.17,3.85,0.90,5.00,5.80,0.00,66914000.00,1.40,15.13
RSIP3,0.44,22.70,1.32,0.875,0.00,0.433,-10.98,9.53,-1.46,18.48,33.21,9.17,3.85,0.90,5.00,5.80,0.00,66914000.00,1.40,15.13
BPAC3,15.89,22.76,4.14,0.000,1.38,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.17,114008.00,44207600000.00,0.00,84.30
USIM6,16.35,22.81,0.87,0.643,2.01,0.510,1.36,5.56,3.17,5.64,4.50,11.56,4.31,3.90,11.53,3.80,1317.41,23642800000.00,0.26,27.90
AGXY3,5.90,22.86,0.70,0.090,0.67,0.091,1.16,1.64,-3.77,3.62,3.05,5.46,0.46,1.10,15.08,3.06,591920.00,1442660000.00,1.40,77.99
TVIT3,19.30,23.46,5.45,1.705,0.00,2.424,175.42,16.02,-12.72,17.14,17.14,10.64,7.27,1.04,17.58,23.24,0.00,314984000.00,0.56,0.00
STBP3,10.39,23.56,4.19,4.680,6.45,2.076,38.50,16.84,-6.49,16.38,11.67,27.78,19.86,1.41,14.49,17.80,49652300.00,2141040000.00,0.14,21.84
PNVL3,13.25,23.73,1.77,0.484,1.68,0.707,3.58,14.82,-29.70,20.85,8.69,3.27,2.04,1.52,6.40,7.45,5364800.00,1126830000.00,0.95,12.65
TMGC3,1500.00,23.77,3.05,2.182,0.00,2.101,12.70,33.47,22.43,32.14,32.14,6.52,9.18,1.69,8.73,12.83,0.00,1167010000.00,0.05,10.49
ARZZ3,83.55,23.79,3.41,2.098,1.90,1.807,8.42,19.13,30.80,19.70,14.32,10.97,8.79,1.69,12.83,14.35,129420000.00,2716660000.00,0.39,31.40
POWE3,10.90,23.92,0.99,0.618,0.00,0.378,6.57,17.61,-3.01,10.63,10.01,3.51,2.59,1.13,3.54,4.13,0.00,988330000.00,0.04,0.00
TSEP4,29.01,23.97,1.30,1.282,0.00,0.906,3.80,14.82,4.43,12.29,12.29,8.65,5.35,1.88,9.10,5.43,0.00,2047020000.00,0.00,4.50
BMGB11,33.60,24.41,1.26,0.000,0.00,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.15,0.00,3898730000.00,0.00,-19.02
AMER3,1.16,24.41,0.07,0.037,0.00,0.022,0.08,0.87,-0.11,10.97,4.18,4.31,0.15,2.24,3.61,0.29,21003500.00,14705600000.00,1.41,47.03
ELEK3,19.11,24.46,2.66,0.619,0.34,1.067,3.75,52.11,-110.34,65.77,26.15,1.19,2.53,1.94,2.52,10.87,0.00,226327000.00,0.99,5.69
MAGS3,62.45,24.49,3.13,2.217,0.00,2.120,4.90,15.02,6.65,14.19,14.19,14.76,8.91,3.06,18.74,12.78,0.00,848546000.00,0.13,10.05
CESP5,25.00,25.20,1.08,3.534,0.00,0.568,60.18,6.89,-1.45,8.09,5.94,51.29,14.02,1.13,8.67,4.28,0.00,7583450000.00,0.27,11.53
CRUZ3,27.59,25.31,22.46,6.614,0.00,7.185,62.03,20.74,124.93,20.75,19.27,31.89,26.13,1.19,46.80,88.76,0.00,1877350000.00,0.63,3.04
CESP6,25.25,25.45,1.09,3.569,0.00,0.574,60.78,6.96,-1.46,8.16,5.99,51.29,14.02,1.13,8.67,4.28,0.00,7583450000.00,0.27,11.53
BALM3,11.70,25.73,0.83,0.679,1.85,0.460,1.04,4.89,1.74,3.91,3.31,13.89,2.59,2.71,12.25,3.22,2212.07,138227000.00,0.18,4.72
CESP3,25.55,25.75,1.10,3.611,0.00,0.581,61.50,7.04,-1.48,8.25,6.05,51.29,14.02,1.13,8.67,4.28,0.00,7583450000.00,0.27,11.53
TNLP4,20.36,25.96,0.71,0.344,0.00,0.125,1.29,3.40,-0.33,9.07,9.07,10.12,-0.07,1.48,4.58,2.72,0.00,13736000000.00,2.02,15.39
CEPE5,40.12,26.03,1.88,0.368,0.00,0.229,9.33,2.52,-0.37,8.33,6.32,14.61,1.41,1.10,10.14,7.21,0.00,1596000000.00,4.67,9.27
HGTX4,9.60,26.11,0.92,1.070,0.00,0.635,1.92,27.10,2.54,28.00,11.15,3.95,4.10,2.47,3.00,3.51,0.00,1704940000.00,0.12,-4.62
APER3,28.94,26.34,1.21,2.197,1.12,0.749,16.83,19.26,-5.38,15.63,9.03,11.41,8.23,1.23,4.62,4.59,1407360.00,467898000.00,0.00,30.86
AMBV4,86.80,26.59,8.74,8.027,0.00,5.253,144.02,20.54,-37.72,20.36,18.35,39.08,30.76,1.18,32.43,32.88,0.00,31105700000.00,0.10,21.73
AMBV3,87.00,26.65,8.76,8.045,0.00,5.266,144.35,20.59,-37.80,20.41,18.39,39.08,30.76,1.18,32.43,32.88,0.00,31105700000.00,0.10,21.73
SIMH3,9.48,26.80,2.73,0.292,1.66,0.134,0.93,1.42,-0.23,6.76,4.88,20.53,2.53,1.82,12.16,10.19,32617200.00,2910600000.00,13.61,64.28
RPSA4,4.90,27.33,1.55,5.697,0.00,0.805,5.09,107.53,-4.50,137.55,137.55,5.30,20.85,2.09,0.85,5.69,0.00,1167980000.00,0.61,-14.23
SOMA3,12.02,27.62,1.26,1.866,0.84,0.876,5.30,16.41,81.34,18.12,12.68,11.37,6.76,2.08,5.97,4.57,121577000.00,7466190000.00,0.18,96.99
CEPE6,43.00,27.90,2.01,0.394,0.00,0.245,9.99,2.70,-0.40,8.52,6.46,14.61,1.41,1.10,10.14,7.21,0.00,1596000000.00,4.67,9.27
LPSB3,2.71,27.93,2.04,2.066,0.76,1.014,11.93,13.71,-4.00,11.84,7.59,15.07,15.08,1.50,8.70,7.31,460882.00,195783000.00,0.00,15.46
SEBB11,23.27,28.01,6.44,2.214,0.00,5.279,24.65,23.96,28.94,23.73,23.73,9.24,7.40,2.44,24.15,23.01,0.00,145783000.00,0.01,50.04
DESK3,14.31,28.12,1.37,2.125,0.14,0.569,-3365.46,6.65,-1.32,9.16,6.18,31.94,8.65,1.00,9.53,4.88,1936680.00,1202230000.00,0.71,73.19
MDIA3,43.59,28.75,2.18,1.378,0.46,1.319,6.28,19.13,76.44,21.17,14.87,7.20,4.79,2.04,8.03,7.58,55008100.00,6785610000.00,0.35,14.64
PEAB3,33.00,29.48,0.62,9.322,1.44,0.489,1.45,80.18,3.25,51.47,27.40,11.63,31.62,17.55,0.88,2.09,5048.61,687268000.00,0.16,-49.16
CGAS3,123.00,29.67,-91.85,0.921,9.63,1.256,-29.64,5.57,-2.00,7.44,6.33,16.51,3.10,0.90,29.89,-309.63,18097.50,-177455000.00,-41.15,22.29
VVEO3,20.81,29.83,2.57,0.617,1.33,0.665,2.45,10.87,-3.78,14.89,13.71,5.68,2.07,1.92,8.53,8.61,2919070.00,2318660000.00,1.38,45.42
CSAB4,45.99,30.14,1.79,532.735,1.44,0.886,0.00,32.36,0.00,0.00,0.00,1646.30,1767.72,0.00,0.00,5.95,9223.23,196979000.00,0.00,-20.21
FLRY3,16.21,30.45,3.18,1.924,1.22,1.128,7.15,12.46,-3.44,15.85,9.47,15.44,6.33,2.00,11.44,10.46,59769900.00,2785860000.00,1.32,14.95
BSCT5,3.50,30.51,2.76,0.000,0.00,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.05,0.00,212960000.00,0.00,1.92
CGAS5,129.00,31.11,-96.34,0.966,10.10,1.317,-31.09,5.85,-2.10,7.71,6.56,16.51,3.10,0.90,29.89,-309.63,80137.20,-177455000.00,-41.15,22.29
LIPR3,72.80,31.70,3.74,0.000,3.39,3.443,19.35,-315.82,25.27,-300.47,-300.91,0.00,0.00,5.87,-1.31,11.78,8331.64,229299000.00,0.00,0.00
ELCA4,20.20,31.99,11.48,2.849,0.00,1.657,27.17,12.41,-3.22,15.21,12.60,22.95,12.23,1.28,15.07,35.89,0.00,3713190000.00,3.09,11.78
MOSI3,8.24,32.29,1.56,4.761,0.00,1.453,1.89,89.69,1.90,42.98,24.91,5.31,14.75,13.30,8.12,4.82,0.00,670337000.00,0.00,0.00
CREM3,14.50,32.69,2.45,0.685,0.00,0.670,4.89,8.52,-5.41,12.04,7.07,8.05,2.10,1.29,11.36,7.50,0.00,189701000.00,1.58,-0.27
NGRD3,1.89,32.76,0.98,1.666,0.78,0.645,2.36,114.14,5.77,69.38,8.69,1.46,4.59,2.52,0.89,2.99,2157640.00,461120000.00,0.13,10.85
TSEP3,40.00,33.05,1.79,1.768,0.00,1.250,5.24,20.44,6.11,17.91,17.91,8.65,5.35,1.88,9.10,5.43,0.00,2047020000.00,0.00,4.50
ELEK4,26.00,33.27,3.62,0.842,0.25,1.452,5.10,70.89,-150.12,84.56,33.61,1.19,2.53,1.94,2.52,10.87,0.00,226327000.00,0.99,5.69
PNVL4,18.62,33.35,2.48,0.680,0.00,0.994,5.03,20.82,-41.73,26.85,11.19,3.27,2.04,1.52,6.40,7.45,0.00,1126830000.00,0.95,12.65
WEGE3,37.00,33.98,10.45,5.047,1.54,5.370,17.15,25.15,23.78,24.79,22.65,20.07,15.09,1.82,29.46,30.74,252219000.00,14867500000.00,0.23,27.24
CTIP3,49.50,35.13,8.76,8.248,0.00,3.774,-71.28,21.15,-14.32,21.42,18.26,38.99,23.48,0.85,24.63,24.94,0.00,1486250000.00,0.67,13.43
ARML3,14.99,35.32,4.55,4.950,2.26,1.379,6.37,14.77,-3.80,18.57,12.96,33.52,14.01,2.85,13.25,12.88,9239240.00,1139730000.00,1.93,96.43
TNLP3,27.75,35.39,0.96,0.468,0.00,0.170,1.76,4.63,-0.45,10.31,10.31,10.12,-0.07,1.48,4.58,2.72,0.00,13736000000.00,2.02,15.39
VIGR3,25.00,36.57,2.55,0.763,0.00,0.899,11.45,12.39,-5.02,15.20,22.95,6.16,2.28,1.26,9.06,6.98,0.00,1593560000.00,0.84,54.72
TOTS3,30.50,36.71,4.37,4.857,1.02,1.839,6.55,12.85,89.21,12.28,10.63,37.79,13.88,1.96,19.30,11.91,128087000.00,4306060000.00,0.39,15.52
PARD3,20.25,36.76,5.30,2.565,6.14,2.095,-54.06,17.52,-8.62,18.12,11.99,14.64,7.00,0.90,15.26,14.42,0.00,1019310000.00,0.53,15.97
MATD3,10.40,38.18,2.43,2.045,0.62,0.793,5.93,10.09,-1.86,12.38,9.89,20.28,6.39,2.40,8.63,6.36,3884520.00,1637530000.00,0.75,64.58
QUAL3,4.77,38.22,0.99,0.711,1.66,0.294,2.34,2.59,-0.71,5.40,2.95,27.42,2.32,1.77,15.34,2.60,24199100.00,1363310000.00,1.71,0.04
ALSC3,27.75,38.57,2.20,10.717,0.95,1.202,9.41,19.33,-4.22,17.49,14.08,55.45,29.30,5.39,7.03,5.69,0.00,2593960000.00,0.00,2.34
