papel,cotação,p_l,p_vp,psr,div_yield,p_ativo,p_cap_giro,p_ebit,p_ativ_circ_liq,ev_ebit,ev_ebitda,mrg_ebit,mrg__líq_,liq__corr_,roic,roe,liq_2meses,patrim__líq,dív_brut__patrim_,cresc__rec_5a
MRSL3,3.30,10.25,0.99,0.883,0.00,0.658,2.37,16.32,6.28,17.74,9.50,5.41,8.69,2.78,4.44,9.63,0.00,375151000.00,0.16,7.10
TRFO3,4.53,10.32,2.58,0.804,0.00,1.039,4.65,5.52,7.37,5.12,5.12,14.58,7.80,1.43,27.63,25.01,0.00,76165000.00,0.26,16.47
CTKA4,10.10,10.37,-0.43,0.100,0.00,0.106,0.39,1.74,-0.18,15.93,10.92,5.76,0.97,1.69,7.08,-4.16,6445.11,-145301000.00,-3.68,20.47
BESP3,330.00,10.38,2.47,0.000,0.00,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23.77,0.00,5183100000.00,0.00,1.83
CYRE3,21.05,10.38,1.17,1.540,2.43,0.516,1.57,12.88,47.05,15.75,14.52,11.96,16.09,2.65,4.93,11.23,116736000.00,7222280000.00,0.65,12.06
AURA33,34.75,10.43,1.46,1.264,4.19,0.662,8.82,5.55,-2.87,6.66,6.66,22.77,12.12,1.31,15.69,14.04,3013590.00,1678880000.00,0.60,-1.08
TCOC4,27.20,10.43,1.26,1.558,0.00,0.915,2.65,10.14,3.07,7.89,7.89,15.37,14.93,2.53,13.98,12.06,0.00,2812920000.00,0.04,16.71
EVEN3,7.18,10.47,0.77,0.607,2.11,0.224,0.46,6.49,1.22,6.02,5.80,9.36,9.06,2.73,4.08,7.35,7377850.00,1961160000.00,0.41,10.11
CRPG6,35.75,10.48,1.24,1.347,26.92,0.936,2.03,16.11,2.58,14.02,10.23,8.36,12.85,4.17,7.03,11.82,67913.40,837085000.00,0.01,8.78
MRSA5B,27.00,10.50,1.66,1.642,2.38,0.632,-14.22,5.22,-1.31,7.19,4.49,31.47,15.63,0.76,13.45,15.85,0.00,5513630000.00,0.79,12.03
MRSA5B,27.00,10.50,1.66,1.642,2.38,0.632,-14.22,5.22,-1.31,7.19,4.49,31.47,15.63,0.76,13.45,15.85,0.00,5513630000.00,0.79,12.03
USIM5,7.53,10.50,0.40,0.296,4.37,0.235,0.63,2.56,1.46,2.64,2.11,11.56,4.31,3.90,11.53,3.80,84791600.00,23642800000.00,0.26,27.90
PATI4,32.60,10.58,0.92,0.357,6.46,0.423,0.80,12.30,1.51,11.33,9.54,2.90,3.38,2.79,6.64,8.73,2590.18,845132000.00,0.67,26.24
ODER4,100.00,10.59,2.41,1.379,2.61,1.263,2.74,12.01,5.17,13.79,12.34,11.48,13.02,2.77,11.83,22.75,429.57,468363000.00,0.48,22.40
