papel,cotação,p_l,p_vp,psr,div_yield,p_ativo,p_cap_giro,p_ebit,p_ativ_circ_liq,ev_ebit,ev_ebitda,mrg_ebit,mrg__líq_,liq__corr_,roic,roe,liq_2meses,patrim__líq,dív_brut__patrim_,cresc__rec_5a
GLOB4,30.49,-74.18,9.62,1.580,0.00,1.423,-13.28,23.03,-3.45,26.90,17.53,6.86,-2.13,0.80,8.47,-12.97,0.00,5064000000.00,1.82,4.86
AMIL3,32.20,-73.28,7.70,1.129,0.00,2.003,-16.95,136.58,-5.43,138.61,50.13,0.83,-1.53,0.75,2.22,-10.51,0.00,1532980000.00,1.24,28.47
BRTP3,35.71,-67.26,2.45,1.168,0.00,0.684,8.98,6.03,-2.40,7.55,7.55,19.37,-2.96,1.29,13.41,-3.64,0.00,5302340000.00,0.91,3.66
IDVL11,140.00,-66.00,60.56,0.000,0.00,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-91.76,0.00,237683000.00,0.00,0.00
CLSA3,5.26,-64.90,1.35,1.869,0.00,1.099,2.04,-17.41,2.16,-10.10,-26.71,-10.74,-2.88,4.39,-14.24,-2.09,2940060.00,729915000.00,0.07,13.74
MSPA3,46.25,-59.39,0.36,1.524,0.12,0.209,9.60,-15.90,-0.60,-22.23,-80.71,-9.59,-2.57,1.42,-1.36,-0.61,0.00,818015000.00,0.18,11.15
CBEE3,13.70,-57.84,0.60,0.423,0.00,0.183,-1.56,2.90,-0.37,6.99,4.40,14.58,-0.73,0.63,7.11,-1.04,1348.53,5492090000.00,0.97,10.45
SCLO3,14.10,-55.02,-0.08,0.000,0.00,0.725,-0.08,-96.00,-0.08,-287.71,-287.71,0.00,0.00,0.01,-0.78,0.15,0.00,-161186000.00,-0.17,-73.91
MAPT4,11.00,-54.06,-1.64,0.000,0.00,13.078,-215.09,-60.17,-1.46,-60.17,-60.17,0.00,0.00,0.00,-23.14,3.03,62.51,-6171000.00,0.00,0.00
PEFX5,19.00,-52.04,1.68,0.477,0.00,0.597,20.34,5.75,-3.18,6.59,0.00,8.30,-0.92,1.07,11.77,-3.24,0.00,396955000.00,0.31,4.36
PEFX3,19.00,-52.04,1.68,0.477,0.00,0.597,20.34,5.75,-3.18,6.59,0.00,8.30,-0.92,1.07,11.77,-3.24,0.00,396955000.00,0.31,4.36
MSPA4,40.00,-51.36,0.31,1.318,0.15,0.181,8.30,-13.75,-0.52,-20.08,-72.91,-9.59,-2.57,1.42,-1.36,-0.61,0.00,818015000.00,0.18,11.15
NINJ3,3.90,-50.08,0.71,3.324,0.00,0.662,0.75,-5.62,0.76,2.01,2.13,-59.20,-6.64,15.59,-160.11,-1.41,740797.00,280216000.00,0.00,-2.10
MTIG4,23.00,-49.52,-359.15,56.001,0.00,36.906,-50.93,-94.31,-44.00,-95.57,-104.60,-59.38,-113.09,0.27,-47.80,725.28,0.00,-7835380.00,-4.95,-26.54
PRGA4,75.00,-48.02,12.29,2.297,0.00,2.185,30.23,184.34,-6.13,207.19,37.51,1.25,-4.70,1.19,1.97,-25.59,0.00,10268800000.00,2.39,17.42
TOYB4,2.50,-47.96,-5.43,5.256,0.00,4.405,-6.47,-9.04,-3.83,-9.15,-9.67,-58.16,-10.96,0.49,-59.36,11.31,0.00,-13852000.00,-0.07,-26.99
IMBI3,5.01,-46.42,2.81,2659.020,0.00,0.518,-2.21,-97.12,-0.37,-104.72,-107.45,-2737.88,-13821.20,0.05,-0.54,-6.05,0.00,62544000.00,0.22,-57.16
CLAN4,3.00,-44.92,0.47,15.151,0.00,0.406,-15.50,-82.56,-6.36,-97.43,22.68,-18.35,-33.73,0.73,-0.50,-1.05,0.00,1012240000.00,0.08,-63.96
TOYB3,2.29,-43.94,-4.97,4.815,0.00,4.035,-5.93,-8.28,-3.50,-8.39,-8.87,-58.16,-10.96,0.49,-59.36,11.31,0.00,-13852000.00,-0.07,-26.99
EBTP3,10.21,-43.56,1.17,0.548,0.00,0.353,-502.47,6.42,-0.73,8.46,2.85,8.53,-1.03,0.99,6.03,-2.68,0.00,10782200000.00,0.39,22.10
EBTP4,10.00,-42.66,1.14,0.537,0.00,0.346,-492.13,6.29,-0.71,8.33,2.81,8.53,-1.03,0.99,6.03,-2.68,0.00,10782200000.00,0.39,22.10
TELB3,15.92,-41.51,0.82,3.680,0.00,0.337,1.06,-4.94,-1.75,-1.14,-8.61,-74.52,-8.86,5.06,-10.02,-1.97,38620.00,1681100000.00,0.08,109.77
HAPV3,5.06,-40.74,0.79,1.488,0.00,0.520,-69.14,-65.85,-2.20,-78.65,25.40,-2.26,-3.65,0.93,-0.84,-1.93,309123000.00,48455100000.00,0.24,49.59
FBRA4,34.58,-39.57,1.66,0.457,0.00,0.738,18.94,7.40,-4.43,10.62,10.62,6.18,-1.15,1.11,11.94,-4.20,0.00,213406000.00,0.77,12.48
BRTP4,20.81,-39.19,1.43,0.681,0.00,0.399,5.23,3.51,-1.40,5.03,5.03,19.37,-2.96,1.29,13.41,-3.64,0.00,5302340000.00,0.91,3.66
MERC4,7.63,-38.21,0.55,0.000,5.90,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1.45,50541.70,248683000.00,0.00,-21.16
LJQQ3,6.41,-37.17,2.34,0.513,0.00,0.425,1.61,29.88,-2.33,34.30,8.70,1.72,-1.38,1.71,1.74,-6.30,22980700.00,512756000.00,0.75,11.26
SHOW3,2.95,-35.89,1.53,0.504,0.00,0.311,3.02,4.16,-3.85,2.45,2.18,12.14,-0.28,1.17,24.61,-4.25,795471.00,130384000.00,0.72,-9.17
MRVE3,14.03,-35.44,1.35,1.184,1.21,0.347,1.77,147.32,-1.32,273.86,63.61,0.80,-2.49,1.80,0.26,-3.80,155940000.00,5848710000.00,1.33,4.95
ITEC3,40.10,-35.12,22.04,2611.690,0.00,9.216,25.42,-26.00,-68.91,-24.80,-29.56,-10044.70,-7435.88,5.23,-63.06,-62.76,0.00,20143000.00,0.00,-74.79
TELB4,12.60,-32.85,0.65,2.912,0.00,0.267,0.84,-3.91,-1.39,-0.11,-0.85,-74.52,-8.86,5.06,-10.02,-1.97,86521.60,1681100000.00,0.08,109.77
IMBI4,3.50,-32.43,1.96,1857.600,0.00,0.362,-1.54,-67.85,-0.26,-75.44,-77.41,-2737.88,-13821.20,0.05,-0.54,-6.05,0.00,62544000.00,0.22,-57.16
PRTX3,2.77,-32.27,-145.32,297.651,0.00,1.400,-2.57,-97.11,-1.43,-128.99,37.19,-306.50,-922.47,0.05,-1.50,450.37,0.00,-18917000.00,-49.85,307.96
OMGE3,27.57,-32.03,1.59,3.419,0.00,0.543,10.86,12.56,-1.06,24.34,13.09,27.23,-11.12,1.72,4.69,-4.95,0.00,3483570000.00,1.66,38.73
DFVA3,9.90,-31.38,60.69,4.327,0.00,5.365,29.10,-55.91,-31.47,-58.28,-58.28,-7.74,-13.79,1.33,-10.35,-193.42,0.00,1170000.00,2.84,3.39
ALPA3,10.29,-30.81,1.32,1.748,0.00,0.905,4.01,31.93,15.02,36.19,19.86,5.47,-5.69,2.50,3.16,-4.30,52800.00,5309890000.00,0.25,1.97
ASTA4,25.83,-30.79,1.00,0.652,0.00,0.446,2.57,19.90,-3.30,33.20,33.20,3.28,-2.12,1.71,2.52,-3.25,0.00,515672000.00,0.85,-4.73
SCAR3,24.00,-30.55,0.93,2.607,0.00,0.385,2.92,7.23,-1.02,16.36,12.48,36.03,-8.81,2.83,5.66,-3.04,127113.00,1492900000.00,1.32,13.04
AMBP3,21.78,-30.07,2.04,0.591,0.62,0.238,0.82,3.17,-0.62,8.28,5.68,18.64,-1.23,2.85,10.99,-6.78,25442800.00,1205910000.00,5.82,125.20
VGOR4,5.87,-29.58,7.18,1.229,0.00,1.468,113.97,27.32,-3.22,34.09,34.09,4.50,-4.59,1.04,6.00,-24.29,0.00,135178000.00,1.89,4.77
CRBM3,90.00,-28.95,3.26,1.498,0.00,1.172,2.98,-15.45,16.90,-14.17,-14.17,-9.70,-5.18,2.24,-12.71,-11.28,0.00,827347000.00,0.45,-1.58
CS03,12.74,-28.52,0.91,0.381,22.96,0.201,1.73,2.35,-0.48,6.31,4.38,16.23,-0.24,1.53,11.17,-3.21,114652000.00,18482000000.00,2.25,18.70
ALPA4,9.45,-28.30,1.22,1.605,0.00,0.831,3.68,29.33,13.79,33.58,18.43,5.47,-5.69,2.50,3.16,-4.30,60883800.00,5309890000.00,0.25,1.97
GOLL4,9.45,-27.84,-0.19,0.222,0.00,0.241,-0.37,2.61,-0.12,10.25,4.92,8.52,-0.80,0.21,11.22,0.70,155791000.00,-20415300000.00,-0.60,7.69
MGLU3,2.99,-27.68,1.96,0.537,0.00,0.590,3.74,17.43,-3.51,21.79,10.67,3.08,-1.94,1.42,4.63,-7.08,334361000.00,10290700000.00,0.71,24.78
DFVA4,8.00,-25.35,49.04,3.497,0.00,4.335,23.51,-45.18,-25.43,-47.55,-47.55,-7.74,-13.79,1.33,-10.35,-193.42,0.00,1170000.00,2.84,3.39
KROT11,40.00,-23.24,0.88,2.044,0.00,0.415,7.13,10.01,-1.35,15.76,9.71,20.42,-9.12,1.49,4.59,-3.78,0.00,12220700000.00,0.63,-7.51
MODL3,3.08,-22.99,1.88,0.000,2.13,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-8.17,7553730.00,1154890000.00,0.00,-62.37
TAMM4,52.73,-22.74,3.80,0.626,0.00,0.524,-31.11,9.77,-0.96,18.01,9.66,6.41,-2.21,0.95,6.36,-16.70,0.00,2174310000.00,4.08,9.79
TAMM3,52.60,-22.68,3.79,0.625,0.00,0.523,-31.04,9.74,-0.96,17.98,9.65,6.41,-2.21,0.95,6.36,-16.70,0.00,2174310000.00,4.08,9.79
ANIM3,4.98,-22.51,0.75,0.556,0.00,0.190,-45.37,3.27,-0.39,10.14,5.48,16.99,1.48,0.98,6.75,-3.34,31750600.00,2677360000.00,2.05,38.78
RCSL3,2.20,-21.19,284.88,3.791,0.00,4.260,30.72,-391.11,-9.67,-389.52,593.39,-0.97,-18.10,1.34,-1.16,-1344.46,5033020.00,983000.00,0.00,78.04
MODL11,8.46,-21.05,1.72,0.000,0.78,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-8.17,0.00,1154890000.00,0.00,-62.37
BAHI4,86.00,-20.86,41.62,6.302,0.00,3.554,-10.20,-69.41,-4.17,-74.83,-171.60,-9.08,-31.62,0.10,-5.27,-199.55,0.00,54533000.00,3.31,72.21
KROT4,5.12,-20.82,0.79,1.832,0.00,0.372,6.39,8.97,-1.21,14.72,9.07,20.42,-9.12,1.49,4.59,-3.78,0.00,12220700000.00,0.63,-7.51
MODL4,2.72,-20.30,1.66,0.000,0.80,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-8.17,0.00,1154890000.00,0.00,-62.37
CRBM7,60.00,-19.30,2.18,0.999,0.00,0.782,1.99,-10.30,11.26,-9.02,-9.02,-9.70,-5.18,2.24,-12.71,-11.28,0.00,827347000.00,0.45,-1.58
WMBY3,25.39,-19.30,2.87,0.836,0.00,0.182,1.20,8.62,-1.50,25.02,25.02,9.70,-7.05,1.44,2.39,-14.86,0.00,212439000.00,6.51,-14.48
RCSL4,1.98,-19.07,256.39,3.412,0.00,3.834,27.65,-352.00,-8.70,-350.40,533.81,-0.97,-18.10,1.34,-1.16,-1344.46,2396170.00,983000.00,0.00,78.04
TDBH4,0.66,-18.63,1.28,0.906,0.00,0.811,-6.15,8.73,-5.66,10.23,10.23,10.38,-4.86,0.63,10.48,-6.85,0.00,554115000.00,0.27,35.74
TANC4,43.00,-18.54,3.10,0.511,0.00,0.428,-25.37,7.96,-0.78,16.20,8.69,6.41,-2.21,0.95,6.36,-16.70,0.00,2174310000.00,4.08,9.79
DASA3,13.90,-17.73,1.54,0.774,0.52,0.398,-11.81,10.35,-0.85,19.91,9.32,7.47,-4.38,0.89,4.40,-8.69,6725880.00,6790600000.00,1.72,38.92
ORVR3,37.15,-17.72,5.73,4.305,0.00,1.507,12.44,93.97,-3.28,121.43,18.28,4.58,-23.37,1.89,1.76,-32.32,13446700.00,538086000.00,1.89,35.82
CCIM3,5.52,-16.44,0.94,0.498,0.00,0.198,0.53,8.96,-1.09,25.04,38.84,5.55,-3.03,2.58,2.38,-5.75,0.00,660347000.00,1.93,29.98
BRPR3,89.91,-16.37,0.56,6.589,230.00,0.302,1.53,22.59,1.78,45.23,42.89,29.17,-41.77,1.46,1.41,-3.43,6699360.00,1860360000.00,0.65,-16.85
CASH3,8.54,-15.99,0.96,1.998,0.00,0.630,1.27,-6.30,1.40,-2.94,-3.50,-31.69,-12.91,2.71,-15.19,-6.00,28283800.00,770573000.00,0.00,45.25
TDBH3,0.56,-15.81,1.08,0.769,0.00,0.688,-5.22,7.40,-4.80,8.91,8.91,10.38,-4.86,0.63,10.48,-6.85,0.00,554115000.00,0.27,35.74
BAHI5,65.00,-15.76,31.46,4.763,0.00,2.686,-7.71,-52.46,-3.15,-57.88,-132.73,-9.08,-31.62,0.10,-5.27,-199.55,0.00,54533000.00,3.31,72.21
GBIO33,10.40,-14.97,1.32,1.518,0.00,0.791,7.57,13.53,17.58,16.06,16.06,11.21,-10.14,1.31,7.12,-8.83,0.00,838439000.00,0.31,-8.99
ZAMP3,4.32,-14.95,0.83,0.319,0.00,0.295,13.36,12.56,-0.70,19.34,3.58,2.54,-2.13,1.11,2.82,-5.57,7718880.00,1427870000.00,0.77,8.58
COGN3,3.42,-13.91,0.53,1.224,0.00,0.249,4.27,5.99,-0.81,11.74,7.23,20.42,-9.12,1.49,4.59,-3.78,74458900.00,12220700000.00,0.63,-7.51
LECO4,1.46,-13.48,2.00,0.637,0.00,0.924,-16.84,-29.69,-3.16,-32.69,-32.69,-2.14,-4.72,0.82,-3.48,-14.82,0.00,105928000.00,0.20,3.58
SEDU3,23.80,-13.36,15.00,3.443,0.00,1.531,57.90,-22.47,-2.67,-28.68,-69.64,-15.33,-25.73,1.09,-8.15,-112.29,0.00,415869000.00,4.67,10.87
TESA3,48.00,-13.30,1.62,1.007,0.00,0.523,-11.10,9.41,-1.35,15.25,10.09,10.71,-7.58,0.86,6.42,-12.18,0.00,858223000.00,1.04,15.48
IGUA3,8.15,-12.52,-1.44,0.568,0.00,0.564,-0.65,8.22,-0.60,14.80,5.80,6.91,-4.53,0.34,7.61,11.52,0.00,-164188000.00,-1.33,-7.41
FGUI3,12.00,-12.41,-2.15,16.009,0.00,25.203,-2.20,-57.76,-2.05,-70.17,-70.17,-27.72,-129.00,0.04,-60.74,17.32,0.00,-222024000.00,-0.46,2.13
IGUA6,8.07,-12.40,-1.43,0.562,0.00,0.558,-0.64,8.14,-0.59,14.72,5.77,6.91,-4.53,0.34,7.61,11.52,0.00,-164188000.00,-1.33,-7.41
IGUA5,7.98,-12.26,-1.41,0.556,0.00,0.552,-0.64,8.04,-0.59,14.63,5.73,6.91,-4.53,0.34,7.61,11.52,0.00,-164188000.00,-1.33,-7.41
OPCT3,5.36,-12.00,1.44,0.856,0.00,0.474,-6.34,9.75,-1.12,19.06,6.09,8.78,-7.14,0.77,5.45,-11.96,3293730.00,746698000.00,1.61,42.88
VVAR11,14.58,-11.82,1.53,0.252,0.00,0.227,-2.12,3.67,-0.55,7.54,4.91,6.86,-2.13,0.80,8.47,-12.97,0.00,5064000000.00,1.82,4.86
VVAR4,4.84,-11.78,1.53,0.251,0.00,0.226,-2.11,3.66,-0.55,7.52,4.90,6.86,-2.13,0.80,8.47,-12.97,0.00,5064000000.00,1.82,4.86
PRVI3,10.54,-11.74,1.61,0.919,0.00,0.565,-250.86,9.71,-1.48,9.87,6.39,9.46,-7.83,0.99,6.15,-13.71,0.00,525170000.00,0.10,16.19
EMBR3,18.03,-11.60,1.04,0.554,0.00,0.251,1.02,6.13,-1.58,9.18,6.10,9.04,-5.23,1.75,5.65,-8.99,146228000.00,12800100000.00,1.32,14.91
AALR3,24.11,-11.53,3.14,2.594,0.00,1.109,-11.41,-2376.70,-2.38,-3093.56,32.04,-0.11,-21.68,0.63,-0.05,-27.28,8643960.00,906947000.00,1.12,1.18
MTIG3,5.21,-11.22,-81.36,12.686,0.00,8.360,-11.54,-21.36,-9.97,-22.62,-24.76,-59.38,-113.09,0.27,-47.80,725.28,0.00,-7835380.00,-4.95,-26.54
CPNY3,2.35,-11.00,0.42,0.232,0.00,0.054,0.20,1.21,-0.13,4.21,4.21,19.13,-2.11,2.26,5.48,-3.86,0.00,398830000.00,2.33,20.10
ESPA3,1.53,-10.75,0.62,0.588,0.00,0.239,1.59,6.07,-1.24,13.95,7.56,9.68,-5.61,1.56,4.35,-5.79,4259160.00,889103000.00,1.03,31.03
SYNE3,4.17,-10.44,0.42,1.514,0.00,0.157,1.70,4.84,-0.62,10.00,6.67,31.28,-10.05,5.32,3.58,-4.03,1014930.00,1511400000.00,0.68,13.10
ENJU3,1.54,-10.00,0.83,2.125,0.00,0.738,1.04,-5.33,1.06,-0.30,-0.47,-39.90,-21.24,8.29,-51.93,-8.32,2830130.00,375094000.00,0.00,18.93
ECPR4,90.74,-9.92,1.22,0.000,0.00,0.624,175.57,-82.97,-1.29,-82.60,-82.72,0.00,0.00,2.97,-0.75,-12.28,0.00,141476000.00,0.00,0.00
ECPR3,90.25,-9.87,1.21,0.000,0.00,0.621,174.62,-82.52,-1.29,-82.15,-82.27,0.00,0.00,2.97,-0.75,-12.28,0.00,141476000.00,0.00,0.00
PCAR4,72.11,-9.41,1.74,3.050,0.00,0.439,1.80,214.06,-11.27,246.39,28.71,1.42,-29.00,1.60,0.24,-18.46,0.00,11220000000.00,0.55,-36.93
TERI3,64.28,-8.83,0.29,0.107,0.00,0.081,7.90,7.20,-0.26,39.56,39.56,1.49,-1.91,1.03,1.25,-3.27,0.00,3641000000.00,1.43,7.94
PCAR5,67.12,-8.76,1.62,2.839,0.00,0.408,1.68,199.25,-10.49,231.58,26.98,1.42,-29.00,1.60,0.24,-18.46,0.00,11220000000.00,0.55,-36.93
CEED4,30.00,-8.47,-0.76,0.435,0.00,0.294,5.60,5.34,-0.28,11.81,8.28,8.15,-5.14,1.17,6.80,8.94,0.00,-2703520000.00,-1.24,10.93
NTCO3,17.36,-8.37,1.09,0.678,0.00,0.451,7.36,20.36,-1.62,28.37,8.98,3.33,-8.10,1.25,2.69,-13.04,208138000.00,22007700000.00,0.60,-4.53
SEMP3,16.86,-8.12,1.36,15.081,0.00,1.201,15.67,-4.42,15.67,-4.07,-4.07,-340.98,-185.82,1.64,-30.21,-16.81,0.00,118441000.00,0.00,-10.37
AERI3,1.20,-7.92,1.07,0.333,0.00,0.280,0.91,3.59,-2.73,7.43,6.12,9.27,-4.20,1.93,11.97,-13.47,7511350.00,862600000.00,2.10,17.75
SZPQ4,6.64,-7.85,2.20,0.855,0.00,0.744,2.62,-20.31,-3.17,-22.77,-22.77,-4.21,-10.89,2.97,-3.77,-28.00,0.00,684467000.00,0.30,-11.71
CEED3,26.99,-7.62,-0.68,0.392,0.00,0.264,5.04,4.80,-0.26,11.27,7.91,8.15,-5.14,1.17,6.80,8.94,15997.70,-2703520000.00,-1.24,10.93
BIOM4,8.68,-7.62,5.00,6.200,0.00,1.877,7.27,-10.64,-8.99,-12.14,-12.12,-58.26,-81.33,2.64,-23.61,-65.57,0.00,141168000.00,1.17,146.68
MEDI3,11.55,-7.52,1.89,0.374,0.00,0.824,-10.02,-9.11,-3.31,-6.61,-6.61,-4.11,-4.98,0.79,-12.30,-25.13,0.00,426164000.00,0.02,13.02
ALPK3,4.91,-7.08,2.75,0.896,0.00,0.389,-4.11,4.54,-0.56,9.76,4.89,19.76,-12.32,0.63,10.31,-38.84,2398670.00,382986000.00,3.97,43.36
TCNO3,1.20,-6.81,-8.40,0.000,0.00,0.034,-0.08,-2.87,-0.04,-15.11,-17.45,0.00,0.00,0.28,-1.59,123.36,0.00,-946000.00,-35.76,-32.39
BRFS3,9.85,-6.31,1.61,0.302,0.00,0.287,3.97,24.21,-0.80,47.06,8.52,1.25,-4.70,1.19,1.97,-25.59,162558000.00,10268800000.00,2.39,17.42
MLAS3,3.21,-6.22,0.71,0.628,0.00,0.401,0.75,-6.60,1.12,-7.61,-8.95,-9.51,-10.10,3.08,-8.06,-11.42,6971160.00,3710960000.00,0.35,-5.13
BRKM3,24.60,-5.77,2.71,0.240,0.00,0.223,1.75,-13.19,-0.42,-27.96,11.37,-1.82,-4.76,1.49,-2.46,-47.00,1119300.00,7232560000.00,5.19,15.94
BLUT3,5.14,-5.63,0.46,0.000,0.00,0.138,-0.76,-42.93,-0.20,-53.97,-53.97,0.00,0.00,0.00,-0.33,-8.24,3091.81,56569000.00,0.12,0.00
BRKM5,23.85,-5.59,2.63,0.233,0.00,0.216,1.69,-12.79,-0.41,-27.55,11.21,-1.82,-4.76,1.49,-2.46,-47.00,118212000.00,7232560000.00,5.19,15.94
BUET3,24.99,-5.46,-0.97,1.961,0.00,0.572,-0.67,-13.13,-0.39,-22.60,-36.32,-14.93,-35.93,0.11,-5.95,17.79,0.00,-124674000.00,-0.70,4.55
