papel,cotação,p_l,p_vp,psr,div_yield,p_ativo,p_cap_giro,p_ebit,p_ativ_circ_liq,ev_ebit,ev_ebitda,mrg_ebit,mrg__líq_,liq__corr_,roic,roe,liq_2meses,patrim__líq,dív_brut__patrim_,cresc__rec_5a
CSTB4,147.69,0.00,0.00,0.000,0.00,0.000,0.00,0.00,0.00,0.00,0.00,40.85,28.98,2.60,22.40,20.11,0.00,8420670000.00,0.14,31.91
PORP4,2.40,0.00,0.00,0.000,0.00,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-2.08,0.00,22399000.00,0.00,13.66
CSTB3,150.00,0.00,0.00,0.000,0.00,0.000,0.00,0.00,0.00,0.00,0.00,40.85,28.98,2.60,22.40,20.11,0.00,8420670000.00,0.14,31.91
PMET3,0.00,0.00,0.00,0.000,0.00,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.10,0.00,-290863000.00,0.00,37.74
MNSA4,0.47,0.00,0.00,0.000,0.00,0.000,0.00,0.00,0.00,0.00,0.00,-208.15,-362.66,3.63,-13.50,145.70,0.00,-9105000.00,-6.52,-41.11
CLAN3,0.00,0.00,0.00,0.000,0.00,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1.05,0.00,1012240000.00,0.00,-63.96
POPR4,10.17,0.00,0.00,0.000,0.00,0.000,0.00,0.00,0.00,0.00,0.00,8.66,5.65,1.08,15.25,19.93,0.00,545803000.00,0.82,30.93
CFLU4,1000.00,0.00,0.00,0.000,0.00,0.000,0.00,0.00,0.00,0.00,0.00,8.88,10.72,1.10,17.68,32.15,0.00,60351000.00,0.06,8.14
IVTT3,0.00,0.00,0.00,0.000,0.00,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.40,0.00,1083050000.00,0.00,20.67
MNSA3,0.42,0.00,0.00,0.000,0.00,0.000,0.00,0.00,0.00,0.00,0.00,-208.15,-362.66,3.63,-13.50,145.70,0.00,-9105000.00,-6.52,-41.11
BBTG12,3.15,-88662.00,29554.00,0.000,0.00,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-33.33,0.00,9000.00,0.00,0.00
GNDI3,66.95,-3584.82,5.84,3.423,2.39,2.378,79.65,87.05,-6.21,91.13,50.88,3.93,-0.09,1.17,3.09,-0.16,0.00,7116080000.00,0.53,25.23
TXRX3,9.00,-1742.32,-0.11,0.180,0.00,0.158,-0.20,1.31,-0.09,11.65,9.97,13.75,-0.01,0.40,16.88,0.01,0.00,-333576000.00,-0.91,26.02
GUAR4,151.00,-1730.91,14.83,8.816,0.00,5.097,19.73,268.48,750.98,274.60,86.73,3.28,-0.51,1.64,2.52,-0.86,0.00,5083810000.00,0.84,3.03
MEGA3,11.15,-979.47,1.40,2.690,0.00,0.405,-5.48,11.66,-0.68,25.62,14.88,23.06,-0.16,0.61,3.66,-0.14,8587230.00,4954980000.00,1.83,100.74
TXRX4,3.78,-731.77,-0.05,0.075,0.00,0.067,-0.09,0.55,-0.04,10.89,9.32,13.75,-0.01,0.40,16.88,0.01,17232.80,-333576000.00,-0.91,26.02
BAUH4,73.89,-660.71,4.09,1.918,1.64,2.404,31.45,41.26,62.45,39.58,25.35,4.65,-0.29,1.20,9.42,-0.62,27230.10,94427000.00,0.11,2.52
PLDN4,486.00,-553.07,1.08,0.919,0.00,0.611,1.07,-75.56,3.10,-33.12,-33.12,-1.22,-0.17,10.81,-1.27,-0.20,0.00,289939000.00,0.01,10.26
LCSA4,35.09,-337.52,-228.00,79.738,0.00,125.308,-202.27,-505.80,-96.61,-506.56,-506.56,-15.77,-23.63,0.29,-28.74,67.55,0.00,-377568000.00,-0.35,6354.07
BHGR3,19.10,-272.16,1.10,3.613,0.00,0.855,-194.45,23.70,-8.56,25.95,14.20,15.24,-1.31,0.96,3.93,-0.40,0.00,1077600000.00,0.20,20.67
DMMO3,1.76,-258.65,-1.72,2.854,0.00,3.346,11.90,6.37,-1.37,5.90,5.42,44.81,-1.10,2.25,70.39,0.66,0.00,-553275000.00,0.00,-17.37
RJCP3,0.01,-224.70,0.65,0.000,0.00,0.619,0.00,-522.94,0.00,-523.96,-917.32,0.00,0.00,0.00,0.00,-0.29,0.00,17287200.00,0.00,0.00
ABYA3,4.91,-214.80,1.76,2.055,0.00,0.527,1.98,19.96,-2.75,33.67,33.67,10.29,-0.96,2.09,2.78,-0.82,0.00,292060000.00,1.31,16.41
PITI4,1.28,-204.74,0.00,0.000,0.00,0.000,0.00,-2637.65,0.00,-2637.65,111.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-29.63
CSAN3,19.40,-152.58,1.85,0.877,2.21,0.276,5.22,5.88,-0.60,13.10,8.78,14.92,4.40,1.41,5.30,-1.22,151760000.00,19604900000.00,2.86,39.23
MAPT3,30.05,-147.68,-4.48,0.000,0.00,35.726,-587.57,-164.38,-3.98,-164.38,-164.38,0.00,0.00,0.00,-23.14,3.03,209.65,-6171000.00,0.00,0.00
HBSA3,3.96,-141.16,2.20,1.683,0.00,0.487,5.62,11.54,-0.81,26.34,11.15,14.58,-1.19,1.93,4.76,-1.56,31599300.00,1366520000.00,3.22,20.90
CBAV3,4.99,-136.64,0.57,0.382,8.83,0.219,1.01,50.15,-1.06,94.29,8.93,0.76,0.77,2.20,0.53,-0.42,38747300.00,5176110000.00,0.77,-16.67
LCSA3,12.50,-120.23,-81.22,28.405,0.00,44.638,-72.05,-180.18,-34.41,-180.95,-180.95,-15.77,-23.63,0.29,-28.74,67.55,0.00,-377568000.00,-0.35,6354.07
MAGG3,59.40,-119.98,1.32,0.684,0.00,0.440,9.32,4.07,-1.55,6.41,5.34,16.82,-0.57,1.14,14.05,-1.10,0.00,2246130000.00,1.03,9.27
LINX3,37.40,-90.95,4.38,7.885,1.52,2.745,11.96,53.17,47.06,51.49,22.97,14.83,-8.67,2.14,6.82,-4.81,0.00,1619010000.00,0.22,15.54
BNCA3,70.30,-90.30,2.45,0.000,0.00,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-2.72,0.00,3068150000.00,0.00,2.41
MERC3,15.28,-76.53,1.11,0.000,0.00,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1.45,18300.50,248683000.00,0.00,-21.16
GUAR3,6.54,-74.97,0.64,0.382,0.31,0.221,0.85,11.63,32.53,17.75,5.61,3.28,-0.51,1.64,2.52,-0.86,14930300.00,5083810000.00,0.84,3.03
