ticker,preco,dy,p_l,p_vp,p_ativos,margem_bruta,margem_ebit,marg_liquida,p_ebit,ev_ebit,divida_liquida___ebit,div_liq___patri,psr,p_cap_giro,p_at_cir_liq,liq_corrente,roe,roa,roic,patrimonio___ativos,passivos___ativos,giro_ativos,cagr_receitas_5_anos,cagr_lucros_5_anos,liquidez_media_diaria,vpa,lpa,peg_ratio,valor_de_mercado
ITSA4,9.67,6.57,7.34,1.27,0.96,34.66,182.53,158.09,6.36,6.80,0.40,0.08,11.61,26.54,-1.08,1.46,17.32,13.03,16.01,0.75,0.21,0.08,11.30,9.38,210234441.48,7.59,1.31,-1.05,94118691914.00
ITUB3,24.08,6.39,7.74,1.37,0.10,36.93,12.47,10.35,6.42,6.87,0,0,0.80,0,-0.10,0,17.72,1.27,0,0.07,0.92,0.12,13.63,5.57,13903542.59,17.50,3.10,0.81,251775121314.60
ITUB4,27.60,5.59,8.83,1.57,0.11,36.93,12.47,10.35,7.33,6.87,0,0,0.91,0,-0.11,0,17.72,1.27,0,0.07,0.92,0.12,13.63,5.57,734005568.07,17.50,3.10,0.92,251775121314.60
JALL3,7.99,5.53,4.99,1.11,0.40,-12.54,11.52,26.09,11.29,21.24,9.95,0.98,1.30,1.73,-0.62,2.86,22.27,8.04,3.89,0.36,0.64,0.31,0,0,7641956.11,7.21,1.61,0.11,2360523698.91
JBSS3,19.47,10.26,4.88,0.97,0.22,-2.36,-2.16,2.39,-5.39,-15.79,-10.39,1.87,0.12,2.00,-0.34,1.42,19.85,4.43,-7.47,0.22,0.76,1.85,18.10,75.38,210393119.52,20.13,4.00,-0.08,43253269215.00
JFEN3,3.35,0,-1.58,-0.11,0.06,-10.11,-181.84,-103.70,-0.90,-8.57,-7.67,0,1.64,-0.52,-0.33,0.88,-6.94,-3.82,100.36,-0.55,1.63,0.04,-47.18,0,193520.63,-30.51,-2.12,0.02,70486556.05
JHSF3,5.60,6.78,6.64,0.76,0.36,57.79,47.75,31.93,4.44,7.00,2.56,0.44,2.12,1.57,-0.53,3.78,11.49,5.47,9.04,0.48,0.50,0.17,39.82,0,15335504.15,7.34,0.84,-0.16,3804239829.60
JOPA3,22.00,3.73,8.19,0.41,0.10,20.61,5.20,1.26,1.99,7.56,5.56,1.15,0.10,0.31,-0.37,1.71,5.00,1.18,5.75,0.24,0.69,0.94,16.21,8.23,11982.25,53.73,2.69,-1.26,234362084.40
JOPA4,33.80,2.67,12.58,0.63,0.15,20.61,5.20,1.26,3.05,7.56,5.56,1.15,0.16,0.48,-0.57,1.71,5.00,1.18,5.75,0.24,0.69,0.94,16.21,8.23,3380.00,53.73,2.69,-1.93,234362084.40
JSLG3,10.29,2.29,8.11,2.05,0.35,18.08,13.08,2.99,2.56,6.33,5.27,3.01,0.44,4.51,-0.48,1.39,13.05,2.22,11.89,0.17,0.83,0.74,-3.66,0,2540214.33,5.03,1.27,0.10,2947375792.62
KEPL3,9.95,10.18,5.70,2.75,1.37,34.97,26.36,19.99,4.39,4.04,-0.32,-0.22,1.10,5.00,-3.97,1.72,52.26,26.05,40.09,0.50,0.50,1.30,25.71,0,14767709.89,3.62,1.74,0.47,1786418092.20
KLBN11,22.95,6.11,5.66,2.41,0.52,47.91,33.32,23.83,4.06,7.37,3.08,1.97,1.31,3.84,-0.71,2.07,45.67,9.87,12.33,0.22,0.74,0.41,19.06,55.72,110263792.93,9.50,4.04,0.32,25718713036.97
KLBN3,4.56,6.14,5.64,2.40,0.52,47.91,33.32,23.83,4.04,7.37,3.08,1.97,1.30,3.82,-0.70,2.07,45.67,9.87,12.33,0.22,0.74,0.41,19.06,55.72,1922018.78,1.90,0.81,0.32,25718713036.97
KLBN4,4.57,6.12,5.65,2.41,0.52,47.91,33.32,23.83,4.05,7.37,3.08,1.97,1.30,3.83,-0.71,2.07,45.67,9.87,12.33,0.22,0.74,0.41,19.06,55.72,9919777.93,1.90,0.81,0.32,25718713036.97
KRSA3,1.38,0,-6.14,0.97,0.22,22.80,11.86,-8.14,4.21,13.23,9.02,2.07,0.50,1.48,-0.31,2.16,-15.75,-3.65,6.70,0.23,0.75,0.45,0,0,1494297.33,1.42,-0.22,-0.03,1059486851.79
LAME3,6.60,0,21.15,1.91,0.28,32.90,4.35,2.27,11.03,16.86,5.87,1.01,0.48,1.20,-0.66,1.72,9.02,1.34,2.89,0.15,0.63,0.59,3.50,18.61,0,3.46,0.31,-46.97,12391135396.59
